en_form,domain,en_sense,de_aligned_forms,de_aligned_counts,example_en_sentence,example_de_sentence,n_instances,total_en_form_instances_in_domain,pct_of_form_in_domain
able,Psy,Affect,"möglich, unmöglich","möglich:1, unmöglich:1","Working with the Oakland Police Department in California , I and a number of my colleagues were able to help the department to reduce the number of stops they made of people who were not committing any serious crimes .","In Zusammenarbeit mit der Polizeibehörde von Oakland in Kalifornien war es mir und einigen meiner Kolleg( innen ) möglich , der Behörde zu helfen , die Anzahl ihrer Stopps zu verringern , wegen Leuten , die keinerlei Straftaten begingen .",2,7,0.2857
able,Psy,Judgement,"gelang, kann","gelang:1, kann:1","Now , to be sure , China and the US have very , very different systems of government , which affects what they 're able to do or not .","Nun , zu der Klarstellung , China und die USA haben gänzlich andere Regierungssysteme , die bestimmen , was getan werden kann und was nicht .",2,7,0.2857
able,Psy,Appreciation,fähig,fähig:1,"Real security is not only being able to tolerate mystery , complexity , ambiguity , but hungering for them and only trusting a situation when they are present .","Echte Sicherheit ist nicht nur fähig zu sein Rätselhaftigkeit , Komplexität , Zweideutigkeit zu tolerieren sondern danach zu hungern und nur einer Situation zu trauen wenn diese vorhanden sind .",3,7,0.4286
able,Sci,Affect,"Lage, können, aufgrund, befähigt, brauchen, konnte, konnten, vorstellen","Lage:4, können:4, aufgrund:1, befähigt:1, brauchen:1, konnte:1, konnten:1, vorstellen:1","And for the first time , we 're able to watch the journey of a tuna beneath the ocean using light and photons to measure sunrise and sunset .","Und zu dem ersten Mal können wir die Reise der Thunfische unter Wasser verfolgen , indem wir mit Licht und Photonen Sonnenauf - und Untergang feststellen .",20,26,0.7692
able,Sci,Judgement,können,können:1,"When I 'm out troubleshooting equipment or problems with something in a plant , they do n't seem to be able to figure out : "" Do I have a training - people issue ? Or do I have something wrong with the equipment ? ""","Wenn ich draußen auf Fehlersuche bin oder es Probleme in der Fabrik gibt , können sie anscheinend nicht feststellen , ob sie ein Ausbildungsproblem haben oder etwas mit der Ausrüstung nicht stimmt .",2,26,0.0769
able,Sci,Appreciation,"Lage, geschafft","Lage:2, geschafft:1","What happens is that bacteria are able to count how many of "" me "" and how many of "" you . ""","Nun sind Bakterien in der Lage zu zählen , wie viele es von "" mir "" und von "" euch "" gibt .",4,26,0.1538
able,Tech,Affect,"fähig, Kraftmessungen, Lage, imstande, in Lage, konnte, konnten, können, speichern","fähig:2, Kraftmessungen:1, Lage:1, imstande:1, in Lage:1, konnte:1, konnten:1, können:1, speichern:1","In fact , it 's so fast we were able to add a new point on the extreme animal movement spectrum .","Und zwar ist es derat schnell , dass wir einen neuen Eintrag auf der Skala der extremen Bewegungen des Tierreichs hinzufügen konnten .",14,32,0.4375
able,Tech,Judgement,"können, Lage, geschafft, könnten","können:4, Lage:2, geschafft:1, könnten:1","They focus on the heat required and the speed in which it moves through the material so that they 're able to release and produce that CO2 at a really fast rate , which allows them to have a more compact design and overall cheaper costs .","Sie konzentrieren sich auf die benötigte Wärme und die Geschwindigkeit , in der sie sich durch das Material bewegt , damit sie das CO2 sehr schnell freigeben und produzieren können . Das erlaubt ihnen ein kompakteres Design und insgesamt weniger Kosten .",11,32,0.3438
able,Tech,Appreciation,"Lage, fähig, gezielt, helfen, imstande","Lage:1, fähig:1, gezielt:1, helfen:1, imstande:1","And you know , I think the real innovation is that we 're now able to design or program the architecture and structure of plant tissues in such a way that they could direct cell growth to address an unmet medical need .","Und wissen Sie , ich denke , die eigentliche Innovation ist , dass wir nun in der Lage sind , Aufbau und Struktur von Pflanzengewebe so zu designen oder zu programmieren , dass sie Zellwachstum steuern und medizinische Bedürfnisse erfüllen können .",7,32,0.2188
abnormal,Med,Affect,,,,,0,1,0.0
abnormal,Med,Judgement,abnormal,abnormal:1,"We can do this because tumor blood vessels are unlike normal , healthy vessels we see in other places of the body -- they 're abnormal , they 're very poorly constructed , and because of that , they 're highly vulnerable to treatments that target them .","Und dies können wir erreichen , weil sich Tumor - Blutgefässe von normalen , gesunden Blutgefässen unterscheiden , die wir in anderen Bereichen des Körpers finden . Sie sind abnormal , sie sind sehr schlecht gebildet ; und darum sind sie sehr angreifbar über Behandlungen , die auf sie abzielen .",1,1,1.0
abnormal,Med,Appreciation,,,,,0,1,0.0
about,Art,Affect,,,"In this clip I 'm about to show you , which has never been seen in the public before , there is a struggle .","In diesem Clip , der noch nie zuvor in de Öffentlichkeit gezeigt wurde , findet ein Kampf statt .",1,2,0.5
about,Art,Judgement,dabei,dabei:1,She was n't about to make up for this occasion .,"Sie war nicht dabei , sich für diesen Anlass zurecht zu machen .",1,2,0.5
about,Art,Appreciation,,,,,0,2,0.0
about,Bus,Affect,,,,,0,1,0.0
about,Bus,Judgement,,,,,0,1,0.0
about,Bus,Appreciation,,,"The company was about to go bankrupt , but some other company acquired it , and I tripled my money .","Die Firma stand kurz vor dem Konkurs , aber eine andere Firma akquirierte sie und ich verdreifachte mein Geld .",1,1,1.0
about,Ent,Affect,,,,,0,1,0.0
about,Ent,Judgement,,,,,0,1,0.0
about,Ent,Appreciation,dabei,dabei:1,"Now , can any of you see the predator that 's about to jump out at you ?","Nun , kann irgenjemand das Raubtier sehen , welche dabei ist , Sie anzugreifen ?",1,1,1.0
about,His,Affect,,,,,0,4,0.0
about,His,Judgement,dabei,dabei:2,But as he was about to put his signature on the Proclamation his own hand was numb and shaking because he had shaken a thousand hands that morning at a New Year 's reception .,"Aber als er gerade dabei war , seine Unterschrift unter die Proklamation zu setzen , war seine Hand taub und zitterte , weil er an dem Morgen tausend Hände während eines Neujahrsempfangs geschüttelt hatte .",3,4,0.75
about,His,Appreciation,gleich,gleich:1,"That spark is about to be conferred by the creator in that finger , which is one millimeter from the hand of Adam .","Dieser Funke wird ihm gleich von dem Schöpfer in den Finger übertragen , der einen Millimeter von Adams Hand entfernt ist .",1,4,0.25
about,Med,Affect,,,And I 'm about to show you a 30 second video animation that took me and James five years of our lives to do .,"Und ich werde Ihnen nun eine 30 - sekündige Animation zeigen , deren Erstellung mich und James fünf Jahre unseres Lebens gekostet hat .",1,3,0.3333
about,Med,Judgement,,,""" Moneyball "" is about to come out , and it 's all about statistics and using statistics to build a great baseball team .",""" Moneyball "" erscheint bald und dreht sich um Statistiken und um diese zu nutzen ein großartiges Baseball Team aufzustellen .",1,3,0.3333
about,Med,Appreciation,eigentlich,eigentlich:1,"We have about a 60 percent response rate , and improved survival for these pets that were about to be euthanized .","Ungefähr 60 Prozent haben auf die Therapie angesprochen und wir haben die Überlebenszeit dieser Tiere verlängert , die eigentlich eingeschläfert werden sollten .",1,3,0.3333
about,Phi,Affect,,,,,0,1,0.0
about,Phi,Judgement,,,,,0,1,0.0
about,Phi,Appreciation,,,"It 's the first night of the meeting , and a confrontation is about to take place that will change science forever .","Es ist der erste Abend dieses Treffens und eine Konfrontation bahnt sich an , welche die Wissenschaft für immer verändern wird .",1,1,1.0
about,Psy,Affect,dabei,dabei:1,"So I 'm sitting in the background here , and I 'm about to flip the switch .","Ich sitze in dem Hintergrund und bin dabei , den Schalter zu drücken .",1,2,0.5
about,Psy,Judgement,,,,,0,2,0.0
about,Psy,Appreciation,auf,auf:1,This seemingly frenzied behavior is about to escalate into something I find really incredible .,Dieses scheinbar verrückte Verhalten baut sich zu etwas Unglaublichem auf .,1,2,0.5
about,Sci,Affect,gerade,gerade:1,"But there is good news : we are making some amazing progress , and we 're about to take our very first baby steps into a new age of atomic space clocks .","Aber es gibt gute Nachrichten : Wir machen erstaunliche Fortschritte . Wir sind gerade dabei , die ersten Schritte , in ein neues Zeitalter von Atomuhren in dem Weltraum zu gehen .",1,1,1.0
about,Sci,Judgement,,,,,0,1,0.0
about,Sci,Appreciation,,,,,0,1,0.0
about,Tech,Affect,dabei,dabei:1,"So I think we need to start preparing ourselves , because we are about to face a world where distributed , autonomous institutions have quite a significant role .","Ich denke , wir müssen beginnen uns vorzubereiten , weil wir dabei sind , eine Welt zu sehen , in der verteilte , autonome Institutionen eine wichtige Rolle spielen werden .",2,2,1.0
about,Tech,Judgement,,,,,0,2,0.0
about,Tech,Appreciation,,,,,0,2,0.0
absolute,Phi,Affect,,,,,0,1,0.0
absolute,Phi,Judgement,,,,,0,1,0.0
absolute,Phi,Appreciation,absolut,absolut:1,"Is that absolute , like force and mass and gravitational attraction ?","Sind sie absolut wie Kraft , Masse und Schwerkraft ?",1,1,1.0
absorbent,Ent,Affect,,,,,0,1,0.0
absorbent,Ent,Judgement,,,,,0,1,0.0
absorbent,Ent,Appreciation,saugfähig,saugfähig:1,My mother was completely absorbent .,Meine Mutter war äußerst saugfähig .,1,1,1.0
absurd,Edu,Affect,,,,,0,1,0.0
absurd,Edu,Judgement,,,,,0,1,0.0
absurd,Edu,Appreciation,absurd,absurd:1,"To appreciate how absurd that is , imagine if we did other things in our life that way .","Um einschätzen zu können , wie absurd das ist , stellen Sie sich vor , wir würden andere Probleme auf diese Art lösen .",1,1,1.0
absurd,Phi,Affect,,,,,0,1,0.0
absurd,Phi,Judgement,,,,,0,1,0.0
absurd,Phi,Appreciation,absurd,absurd:1,"The universe is absurd , but we can still construct a purpose , and that 's a pretty good one , and the overall mediocrity of reality kind of resonates nicely with the mediocrity we all feel in the core of our being .","Das Universum ist absurd , aber wir können immer noch einen Zweck konstruieren , und die überwiegende Mittelmäßigkeit der Realität ist schön in dem Einklang mit der Mittelmäßigkeit , die wir alle in unserem tiefsten Innern fühlen .",1,1,1.0
absurd,Tech,Affect,,,,,0,1,0.0
absurd,Tech,Judgement,,,,,0,1,0.0
absurd,Tech,Appreciation,absurd,absurd:1,This was absurd .,Das ist absurd .,1,1,1.0
abundant,Med,Affect,,,,,0,1,0.0
abundant,Med,Judgement,,,,,0,1,0.0
abundant,Med,Appreciation,,,"Now , there 's a reason why this test has n't been updated in over six decades . And that 's because when we 're looking for pancreatic cancer , we 're looking at your bloodstream , which is already abundant in all these tons and tons of protein , and you 're looking for this miniscule difference in this tiny amount of protein . Just this one protein .","Nun , es gibt einen Grund , warum dieser Test in über sechs Jahrzehnten nicht verbessert wurde , und zwar weil wir auf der Suche nach Bauchspeicheldrüsenkrebs unseren Blutkreislauf betrachten , der überfüllt mit einer riesigen Menge von Proteinen an , und man sucht nach diesem winzigen Unterschied in dieser winzigen Anzahl an Proteinen , von nur diesem einen Protein .",1,1,1.0
abundant,Tech,Affect,Überfluss,Überfluss:1,It is about taking that which was scarce and making it abundant .,"Es geht darum , aus knappen Gütern Überfluss zu schaffen .",1,1,1.0
abundant,Tech,Judgement,,,,,0,1,0.0
abundant,Tech,Appreciation,,,,,0,1,0.0
abusive,Tech,Affect,,,,,0,2,0.0
abusive,Tech,Judgement,beleidigend,beleidigend:1,"And in fact , in that case , it 's not only not abusive , it 's technically just an accurate greeting .","Tatsächlich ist es in diesem Fall nicht nur nicht beleidigend , sondern eine völlig korrekte Anrede .",1,2,0.5
abusive,Tech,Appreciation,beleidigend,beleidigend:1,"So okay , determining whether or not something is abusive without context , definitely hard .","Also festzustellen , ob etwas beleidigend ist , ohne den Zusammenhang zu kennen , ist wirklich schwer .",1,2,0.5
acceptable,Art,Affect,,,,,0,1,0.0
acceptable,Art,Judgement,,,,,0,1,0.0
acceptable,Art,Appreciation,Ordnung sein,Ordnung sein:1,"And somehow , that 's acceptable ?",Und das soll in Ordnung sein ?,1,1,1.0
accepting,Psy,Affect,,,,,0,1,0.0
accepting,Psy,Judgement,akzeptieren,akzeptieren:1,They 're more accepting of sadness than younger people are .,Sie akzeptieren Traurigkeit leichter als jüngere Leute .,1,1,1.0
accepting,Psy,Appreciation,,,,,0,1,0.0
accessible,Tech,Affect,leichter,leichter:1,"But we wanted to make detection even more accessible and usable , so through a combination of model optimization , network binarization and approximation , we actually have object detection running on a phone .","Aber wir wollten Bilderkennung sogar noch leichter nutzbar machen . Daher haben wir durch Modelloptimierung , Binarisierung des neuralen Netzes und Approximation erreicht , dass die Objekterkennung sogar auf einem Mobiltelefon läuft .",1,1,1.0
accessible,Tech,Judgement,,,,,0,1,0.0
accessible,Tech,Appreciation,,,,,0,1,0.0
accidental,Bus,Affect,,,,,0,1,0.0
accidental,Bus,Judgement,,,,,0,1,0.0
accidental,Bus,Appreciation,Zufall,Zufall:1,"If you happen to be surrounded by a bunch of people who look like you , that 's purely accidental .","Wenn wir von Menschen umgeben sind , die aussehen wie wir , dann ist das purer Zufall .",1,1,1.0
accountable,Bus,Affect,Verantwortung,Verantwortung:1,We can hold those governments accountable .,Wir können Regierungen zu der Verantwortung ziehen .,1,1,1.0
accountable,Bus,Judgement,,,,,0,1,0.0
accountable,Bus,Appreciation,,,,,0,1,0.0
accurate,His,Affect,,,,,0,1,0.0
accurate,His,Judgement,,,,,0,1,0.0
accurate,His,Appreciation,genau,genau:1,"But what we lose , I think , is an accurate -- a felt sense of the sky , a sense of context .","Aber , was wir verlieren ist , denke ich genau – ein gefühlter Sinn für den Himmel eine Art Kontext .",1,1,1.0
accurate,Pol,Affect,,,,,0,1,0.0
accurate,Pol,Judgement,präziser,präziser:1,Would n't it be far more accurate and evidence - based to determine the muscle mass of individual patients just by looking at them ?,"Wäre es nicht viel präziser und evidenzbasierter , die Muskelmasse von Patienten individuell festzulegen , indem man sie sich einfach anschaut ?",1,1,1.0
accurate,Pol,Appreciation,,,,,0,1,0.0
accurate,Sci,Affect,,,"And believe it or not , and I know some of you are like , "" Yeah , right , "" we 're about 90 percent accurate , or more , with weather forecast .","Ob Sie es glauben oder nicht und einige von Ihnen denken : "" Ja , klar "" , aber unsere Wettervorhersagen treffen zu 90 % zu .",1,5,0.2
accurate,Sci,Judgement,akkurat,akkurat:1,"One textbook says , for example , "" Evolutionarily speaking , vision is useful precisely because it is so accurate . ""","Ein Beispiel dafür ist : "" Evolutionär gesehen ist das Sehen nützlich , gerade weil es so akkurat ist . """,1,5,0.2
accurate,Sci,Appreciation,"richtig, zutreffend","richtig:1, zutreffend:1","Now , there 's no better definition of cognitive dissonance than intelligent people asking me if a rodent 's forecast is accurate .","Es gibt keine bessere Definition für kognitive Dissonanzen als intelligente Leute , die mich fragen , ob eine Nagetier - Vorhersage zutrifft .",3,5,0.6
acidic,Sci,Affect,Säuregehalt,Säuregehalt:1,"Excess carbon dioxide is not only driving global warming , it 's also changing ocean chemistry , making the sea more acidic .","Übermäßige Mengen an Kohlendioxid treiben nicht nur die Erderwärmung voran , sie verändern auch die chemische Zusammensetzung der Meere , erhöhen ihren Säuregehalt .",1,1,1.0
acidic,Sci,Judgement,,,,,0,1,0.0
acidic,Sci,Appreciation,,,,,0,1,0.0
active,Art,Affect,,,,,0,1,0.0
active,Art,Judgement,,,,,0,1,0.0
active,Art,Appreciation,beschäftigt,beschäftigt:1,"And it 's one of the most interesting technical challenges that 's very currently active in the computer sciences : being able to have a camera that can understand , from a fairly big distance away , how these little tiny balls are actually pointing in one way or another to reveal what you 're interested in , and where your attention is directed .","Das ist eine der interessantesten technischen Herausforderungen , die zu der Zeit die Informatik beschäftigt . Eine Kamera zu entwickeln , die aus recht großer Distanz erkennt , wie diese klitzekleinen Kugeln tatsächlich in die eine oder andere Richtung zeigen , um zu erkennen , was einen interessiert und worauf unsere Aufmerksamkeit gerichtet ist .",1,1,1.0
active,Bus,Affect,,,,,0,2,0.0
active,Bus,Judgement,,,,,0,2,0.0
active,Bus,Appreciation,aktiv,aktiv:2,"Big businesses have recognized this , and what 's fascinating about this slide , it 's not that the guys can carry boxes on their heads and run around without dropping them off . it 's that the Gala sausage roll is a product that 's made by a global company called UAC foods that 's active throughout Africa and the Middle East , but the Gala sausage roll is not sold in stores .","Die großen Unternehmen haben das erkannt , und das ist hier so faszinierend : – nicht , dass den Jungs die Kartons bei dem Laufen nicht herunterfallen – Gala Würstchen werden von der weltweit tätigen Firma UAC Foods hergestellt , die in ganz Afrika und dem Mittleren Osten aktiv ist , aber Gala Würstchen kann man nicht in Geschäften kaufen .",2,2,1.0
active,Edu,Affect,,,,,0,1,0.0
active,Edu,Judgement,,,,,0,1,0.0
active,Edu,Appreciation,aktiv,aktiv:1,"But verbs , they say , are "" active , no less demanding but requiring constant engagement .","Verben dagegen sind ihnen zufolge "" aktiv , nicht weniger fordernd , aber erfordern stetiges Engagement .",1,1,1.0
active,His,Affect,aktiv,aktiv:1,"For in the months leading up to my selection , like many young people , I 'd been active in the anti-Vietnam War movement , and had written an article against Lyndon Johnson , which unfortunately came out in The New Republic two days after the dance in the White House .","In den Monaten vor meiner Auswahl war ich , wie viele junge Leute , aktiv in der Bewegung gegen den Vietnam - Krieg und hatte einen Artikel gegen Lyndon Johnson geschrieben , der unglücklicherweise in der ' The New Republic' erschien , zwei Tage nach dem Ball in dem Weißen Haus .",1,1,1.0
active,His,Judgement,,,,,0,1,0.0
active,His,Appreciation,,,,,0,1,0.0
active,Med,Affect,"aktiv, fit","aktiv:1, fit:1","I 'm eating right , I 'm exercising every day , I 'm keeping my mind active , that 's what the research says you should do .","Ich ernähre mich richtig , ich betätige mich jeden Tag körperlich , ich halte mein Gedächtnis fit , all die Dinge , die laut Experten ratsam sind .",2,2,1.0
active,Med,Judgement,,,,,0,2,0.0
active,Med,Appreciation,,,,,0,2,0.0
active,Sci,Affect,,,,,0,7,0.0
active,Sci,Judgement,aktiv,aktiv:1,It 's active .,Er ist aktiv .,1,7,0.1429
active,Sci,Appreciation,"aktiv, aktiver","aktiv:3, aktiver:2",The patrollers -- that 's supposed to be a magnifying glass -- are an interesting group that go out early in the morning before the foragers are active .,"Die Patrouilleure -- das da soll eine Lupe darstellen -- sind eine interessante Gruppe . Sie gehen früh morgens nach draussen , bevor die erste Gruppe auf Nahrungssuche geht .",6,7,0.8571
acute,Phi,Affect,,,,,0,1,0.0
acute,Phi,Judgement,,,,,0,1,0.0
acute,Phi,Appreciation,akut,akut:1,Those same issues of conflicts of interest are acute in the United States today .,Dieselben Interessenkonflikte sind in den heutigen USA akut .,1,1,1.0
adaptive,Edu,Affect,,,,,0,1,0.0
adaptive,Edu,Judgement,,,,,0,1,0.0
adaptive,Edu,Appreciation,anwendbar,anwendbar:1,"The notion that the prenatal transmission of PTSD risk is adaptive is still speculative , but I find it rather poignant .","Die Idee , dass die prenatale Übertragung des PTSD - Risikos anwendbar ist , ist noch Theorie , für mich aber eine sehr überwältigende .",1,1,1.0
adaptive,Pol,Affect,,,,,0,1,0.0
adaptive,Pol,Judgement,anpassungsfähig,anpassungsfähig:1,"He had a lot of flaws , but he was very adaptive .","Er hatte viele Schwächen , aber er war sehr anpassungsfähig .",1,1,1.0
adaptive,Pol,Appreciation,,,,,0,1,0.0
adaptive,Psy,Affect,,,,,0,2,0.0
adaptive,Psy,Judgement,ungemütlich anpassungsfähig,ungemütlich anpassungsfähig:1,"It 's uncomfortable , but it 's adaptive .","Es ist ungemütlich , aber es ist anpassungsfähig .",1,2,0.5
adaptive,Psy,Appreciation,anpassungsfähig,anpassungsfähig:1,The ability to hold something we 've done or failed to do up against who we want to be is incredibly adaptive .,"Die Fähigkeit , etwas hochzuhalten , das wir taten oder uns versagten , gegen wer wir sein wollen , ist unglaublich anpassungsfähig .",1,2,0.5
addicted,Art,Affect,,,,,0,1,0.0
addicted,Art,Judgement,,,,,0,1,0.0
addicted,Art,Appreciation,Künstlerin,Künstlerin:1,"When I was a kid , I loved to draw , and the most talented artist I knew was my mother , but my mother was addicted to heroin .","Als ich ein Kind war , liebte ich das Zeichnen , und die talentierteste Künstlerin , die ich kannte , war meine Mutter .",1,1,1.0
