file,Domain,sent_index,token_id,token_form,token_lemma,sense,sentence,de_aligned_forms,de_aligned_lemmas,de_sentence
Art11_en.conllu,Art,54,24,upset,upset,Appreciation,"So I get shipped off to private school , K through eight , public schools , but for some reason my grandfather was upset that somebody at the local high school had been stabbed and killed , so he did n't want me to go there .",,,"Ich wurde an eine Privatschule geschickt , von dem Kindergarten bis zu der 8 . Klasse an staatlichen Schulen , aber irgendwie war mein Großvater aufgebracht , weil an der örtlichen Schule jemand erstochen worden war , also wollte er nicht , dass ich dort hinging ."
Art11_en.conllu,Art,56,10,coed,coed,Appreciation,"You can go to Holy Name , which is coed , or St. John 's , which is all boys .",gemischte,gemischt,"Du kannst an die "" Holy Name "" gehen , eine gemischte Schule , oder an die "" St. John 's "" , mit nur Jungen ."
Art11_en.conllu,Art,63,5,pleased,pleased,Judgement,Mr. Greenwood was not pleased .,erfreut,erfreut,Greenwood war nicht erfreut .
Art11_en.conllu,Art,64,39,doomed,doom,Affect,"He instantly saw that I was the cause of the commotion , and for the first time in my life , I was sent to the hall , and I thought , "" Oh no , I 'm doomed .",verloren,verlieren,"Er merkte sofort , dass ich der Grund für die Unruhe war , und zu dem ersten Mal in meinem Leben wurde ich aus der Klasse geschickt , und ich dachte : "" Oh nein , ich bin verloren ."
Art11_en.conllu,Art,73,38,mean,mean,Appreciation,"I was introduced to Mrs. Casey , who ran the school newspaper , and I was for three and a half years the cartoonist for my school paper , handling such heavy issues as , seniors are mean , freshmen are nerds , the prom bill is so expensive .",gemein,gemein,"Ich wurde Mrs. Casey vorgestellt , die die Schülerzeitung leitete , und dreieinhalb Jahre war ich der Karikaturist der Schülerzeitung , ich behandelte so schwerwiegende Themen wie : Zwölftklässler sind gemein , Neuntklässler sind Streber , der Eintritt zu dem Schulball ist so teuer !"
Art11_en.conllu,Art,73,49,expensive,expensive,Appreciation,"I was introduced to Mrs. Casey , who ran the school newspaper , and I was for three and a half years the cartoonist for my school paper , handling such heavy issues as , seniors are mean , freshmen are nerds , the prom bill is so expensive .",teuer,teuer,"Ich wurde Mrs. Casey vorgestellt , die die Schülerzeitung leitete , und dreieinhalb Jahre war ich der Karikaturist der Schülerzeitung , ich behandelte so schwerwiegende Themen wie : Zwölftklässler sind gemein , Neuntklässler sind Streber , der Eintritt zu dem Schulball ist so teuer !"
Art11_en.conllu,Art,76,5,cool,cool,Judgement,"But it was so cool because I could write these stories , I could come up with these ideas , and they 'd be published in the school paper , and people who I did n't know could read them .",cool,cool,"Es war so cool , ich konnte diese Geschichten schreiben , ich konnte mir diese Ideen einfallen lassen und sie wurden in der Schülerzeitung veröffentlicht , und Leute , die ich nicht kannte , konnten sie lesen ."
Art11_en.conllu,Art,93,43,excited,excited,Affect,"Mark Lynch , he 's an amazing teacher and he 's still a dear friend of mine , and I was 14 or 15 , and I walked into his comic book class halfway through the course , and I was so excited , I was beaming .",aufgeregt,aufgeregt,"Mark Lynch , ein erstaunlicher Lehrer , der nach wie vor ein guter Freund von mir ist , ich war 14 oder 15 , und ich kam nach der Hälfte der Zeit in seinen Comicbuch - Kurs und ich war so aufgeregt , dass ich strahlte ."
Art11_en.conllu,Art,101,10,angsty,angsty,Affect,"Now when I was a teenager , I was angsty as any teenager was , but after 17 years of having a mother who was in and out of my life like a yo - yo and a father who was faceless , I was angry .",neurotisch,neurotisch,"Als ich ein Teenager war , war ich so neurotisch und ängstlich wie jeder andere , aber nach 17 Jahren mit einer Mutter , die in meinem Leben kam und ging wie ein Jo-Jo , und einem unbekannten , gesichtslosen Vater , war ich wütend ."
Art11_en.conllu,Art,101,46,angry,angry,Affect,"Now when I was a teenager , I was angsty as any teenager was , but after 17 years of having a mother who was in and out of my life like a yo - yo and a father who was faceless , I was angry .",wütend,wütend,"Als ich ein Teenager war , war ich so neurotisch und ängstlich wie jeder andere , aber nach 17 Jahren mit einer Mutter , die in meinem Leben kam und ging wie ein Jo-Jo , und einem unbekannten , gesichtslosen Vater , war ich wütend ."
Art11_en.conllu,Art,110,23,involved,involved,Affect,"And I sent this book out to a dozen publishers and it was rejected every single time , but I was also involved with the Hole in the Wall Gang Camp , an amazing camp for kids with all sorts of critical illnesses , and it 's those kids at the camp that read my stories , and I read to them , and I saw that they responded to my work .",beteiligte,beteiligen,"Ich schickte das Buch an ein Dutzend Verleger und es wurde jedes Mal abgelehnt , aber ich beteiligte mich auch an dem Hole in the Wall Gang Camp , ein tolles Camp für Kinder mit allen möglichen kritischen Erkrankungen , und es waren die Kinder dort in dem Camp , die meine Geschichten lasen , und ich las ihnen vor , und sah , dass sie auf meine Arbeit ansprachen ."
Art11_en.conllu,Art,112,5,proud,proud,Appreciation,"My grandparents were very proud , and I moved to Boston , and I set up shop .",stolz,stolz,"Meine Großeltern waren sehr stolz , ich zog nach Boston und richtete mich dort ein ."
Art11_en.conllu,Art,115,18,unanswered,unanswered,Judgement,"I would send out hundreds of postcards to editors and art directors , but they would go unanswered .",unbeantwortet,unbeantwortet,"Ich verschickte hunderte von Postkarten an Lektoren und künstlerische Leiter , aber sie blieben unbeantwortet ."
Art11_en.conllu,Art,137,29,dead,dead,Affect,"My friend described it as a wake , but happy , because everyone I ever knew was there in line to see me , but I was n't dead .",tot,tot,"Mein Freund beschrieb es als eine Art Totenwache , aber fröhlicher , weil jeder , den ich kannte , kam , um mich zu sehen , aber ich nicht tot war ."
Art11_en.conllu,Art,140,4,happy,happy,Judgement,They were so happy .,glücklich,glücklich,Sie waren so glücklich .
Art11_en.conllu,Art,141,7,proud,proud,Judgement,They could n't have been more proud .,stolzer,stolz,Sie hätten nicht stolzer sein können .
Art11_en.conllu,Art,151,9,second,second,Judgement,"And for him , it 's only his second .",Zweite,zweite,Und für ihn war es erst der Zweite .
Art11_en.conllu,Art,169,4,cool,cool,Judgement,It was so cool .,cool,cool,Das war so cool .
Art11_en.conllu,Art,175,3,true,true,Appreciation,That 's true .,stimmt,stimmen,Das stimmt .
Art11_en.conllu,Art,176,9,good,good,Appreciation,"You are alive , and that 's pretty good right now .",gut,gut,Man ist an dem Leben und das ist ziemlich gut .
Art12_en.conllu,Art,19,31,sure,sure,Affect,"It does n't matter what your religion is ; even if you 're an atheist , you do n't raise your kid telling him , you know , "" Make sure you lie three times a day . """,,,"Deine Religion spielt keine Rolle , auch wenn du Atheist bist , bringst du deinem Kind nicht bei drei Mal an dem Tag zu lügen ."
Art12_en.conllu,Art,30,24,safe,safe,Judgement,"Those stones have been smuggled as three prayer beads of 33 stones each through Arabia into Andalusia in Spain , where they 're safe for 200 years .",sicher,sicher,"Diese Steine werden in Form von drei islamischen Rosenkränzen – mit jeweils 33 Steinen – durch Arabien bis Andalusien geschmuggelt , wo sie für 200 Jahre sicher sind ."
Art12_en.conllu,Art,41,18,worth,worth,Appreciation,"To which he said , "" Let them be , because what they 're giving us is worth a lot more than what we 're paying them . """,Wert,wert,"Daraufhin sagte er : "" Lasst sie ruhig , denn was sie uns geben ist viel mehr Wert , als wir ihnen zahlen . """
Art12_en.conllu,Art,42,15,new,new,Appreciation,"So the idea of an open architecture , an open knowledge , is not new to my neck of the desert .",Neues,neu,Also sind die Gedanken einer offenen Architektur und eines offenen Wissens nichts Neues in meinem Land .
Art12_en.conllu,Art,44,3,Arabic,arabic,Judgement,Noor is Arabic for light .,Arabisch,arabisch,Noor ist Arabisch für Licht .
Art12_en.conllu,Art,75,12,able,able,Appreciation,"Mujiba , from Malaysia : her main power is she 's able to answer any question .",darin,darin,"Mujiba aus Malaysia , ihre Kraft besteht darin jede Frage zu beantworten ."
Art12_en.conllu,Art,80,12,kind,kind,Appreciation,"I 'm like , are all the girls going to be kind and merciful and the guys all strong ?",nett,nett,Ich dachte sollen alle Mädchen nett und barmherzig sein und die Jungen stark ?
Art12_en.conllu,Art,80,19,strong,strong,Appreciation,"I 'm like , are all the girls going to be kind and merciful and the guys all strong ?",stark,stark,Ich dachte sollen alle Mädchen nett und barmherzig sein und die Jungen stark ?
Art12_en.conllu,Art,89,33,worth,worth,Judgement,"So I promised my investors this would not be another made - in - fifth - world - country production . This was going to be Superman , or it was n't worth my time or their money .",wert,wert,"Ich versprach meinen Investoren dies würde keine weitere Fünfte - Welt - Produktion , das hier würde Superman werden oder es wäre weder meine Zeit , noch ihr Geld wert ."
Art12_en.conllu,Art,107,4,timely,timely,Appreciation,That 's not timely .,grad gut,grad gut,Das passt grad nicht so gut .
Art12_en.conllu,Art,111,3,timely,timely,Affect,I became timely .,ganz gut,ganz gut,"Ich "" passte "" plötzlich ganz gut ."
Art12_en.conllu,Art,117,4,able,able,Affect,"We 've been able to license The 99 comic books into eight languages so far -- Chinese , Indonesian , Hindi , Urdu , Turkish .",,,"Wir haben die "" 99 "" - Comichefte bisher in acht Sprachen übersetzt : Chinesisch , Indonesisch , Hindi , Urdu , Türkisch ."
Art12_en.conllu,Art,119,14,amazing,amazing,Appreciation,"But the biggest thing we 've done to date , which is just amazing , is that we 've done a 26 - episode animated series , which is done for global audiences : in fact , we 're already going to be in the U.S. and Turkey , we know .",super,super,"Das Größte was wir bisher gemacht haben und das ist einfach super , ist eine Zeichentrickserie mit 26 Folgen , die für Zuschauer weltweit angedacht ist . Wir wissen bereits , dass diese in die USA und die Türkei kommen ."
Art12_en.conllu,Art,121,6,about,about,Affect,"In this clip I 'm about to show you , which has never been seen in the public before , there is a struggle .",,,"In diesem Clip , der noch nie zuvor in de Öffentlichkeit gezeigt wurde , findet ein Kampf statt ."
Art12_en.conllu,Art,132,16,safe,safe,Judgement,Man : I wo n't send any more commandos in until I know it 's safe .,sicher,sicher,"Mann : Ich werde keine Soldaten mehr schicken , bis ich weiß , dass es sicher ist ."
Art12_en.conllu,Art,146,4,imminent,imminent,Appreciation,Alarm : Threat imminent .,drohende Gefahr,drohend gefahr,Achtung : drohende Gefahr .
Art12_en.conllu,Art,165,19,gone,gone,Appreciation,"And I took away the name of the writer , the name of the authors -- everything was gone except the facts .",weg,weg,"Ich entfernte den Namen des Autors – alles war weg , außer der Fakten ."
Art12_en.conllu,Art,167,4,illegal,illegal,Judgement,Red was made illegal .,illegal,illegal,Rot wurde illegal .
Art12_en.conllu,Art,175,9,alarming,alarming,Appreciation,"But what breaks my heart and what 's alarming is that in those two interviews , the people around , who were interviewed as well , refer to that behavior as Talibanization .",beunruhigt,beunruhigen,"Es bricht mein Herz und beunruhigt mich , dass in diesen beiden Interviews die Leute , welche ebenfalls interviewt wurden , dieses Verhalten als "" Talibanisierungf "" bezeichneten ."
Art12_en.conllu,Art,179,10,dangerous,dangerous,Appreciation,They said it 's us -- and this is dangerous .,gefährlich,gefährlich,Wir sind 's . Und das ist gefährlich .
Art12_en.conllu,Art,180,3,dangerous,dangerous,Judgement,It 's dangerous when a group self - identifies itself as extreme .,gefährlich,gefährlich,"Es ist gefährlich , wenn eine Gruppe sich selbst als extrem identifiziert ."
Art12_en.conllu,Art,188,7,busy,busy,Affect,"I 'm working . I 'm busy . """,arbeite,arbeiten,"Ich arbeite , bin beschäftigt . """
Art12_en.conllu,Art,193,66,proud,proud,Judgement,"And when I see pictures like this , of parents or uncles who think it 's cute to have a little child holding a Koran and having a suicide bomber belt around them to protest something , the hope is by linking enough positive things to the Koran , that one day we can move this child from being proud in the way they 're proud there , to that .",,,"Und wenn ich diese Bilder sehe von Eltern oder Onkeln , die denken es sei niedlich wenn ein kleines Kind einen Koran in der Hand und einen Bombengürtel um hat , um zu protestieren , so ist die Hoffnung genug Positives mit dem Koran zu verbinden , sodass wir eines Tages dieses Kind genauso stolz machen können wie hier , aber so ."
Art13_en.conllu,Art,11,3,easy,easy,Appreciation,"That was easy , but then I made the decision , maybe arbitrary , that they needed to be people of a certain age , which at that point , when I created this program , seemed really old .",einfach,einfach,"Das war einfach , aber dann habe ich mich entschlossen , vielleicht aus Willkür , dass sie Leute in einem bestimmten Alter sein müssen , das zu dem Zeitpunkt , als ich das Programm gestartet hatte , wirklich alt sein sollte ."
Art13_en.conllu,Art,13,10,old,old,Judgement,"For obvious reasons , it does n't seem that old anymore to me .",alt,alt,Aus leicht ersichtlichen Gründen empfinde ich das nicht mehr als alt .
Art13_en.conllu,Art,17,16,convinced,convinced,Appreciation,"But the second part of it -- and the older I get , the more convinced I am that that 's true . It 's amazing what people will say when they know how the story turned out .",überzeugter,überzeugt,"Aber der zweite Grund -- und je älter ich werde , desto überzeugter bin ich , dass er zutrifft -- ist , dass es erstaunlich ist , was Menschen sagen , wenn sie wissen , wie die Geschichte endet ."
Art13_en.conllu,Art,17,22,true,true,Affect,"But the second part of it -- and the older I get , the more convinced I am that that 's true . It 's amazing what people will say when they know how the story turned out .",zutrifft,zutreffen,"Aber der zweite Grund -- und je älter ich werde , desto überzeugter bin ich , dass er zutrifft -- ist , dass es erstaunlich ist , was Menschen sagen , wenn sie wissen , wie die Geschichte endet ."
Art13_en.conllu,Art,27,12,important,important,Judgement,"Then there 's the celebrity interview , where it 's more important who 's asking the question than who answers .",,,"Und es gibt das Promi - Interview , bei dem der Fragensteller wichtiger ist , als der , der antwortet ."
Art13_en.conllu,Art,29,13,important,important,Judgement,"That 's Frost - Nixon , where Frost seems to be as important as Nixon in that process .",wichtig,wichtig,"Da ist Frost - Nixon , wo Frost genauso wichtig erscheint wie Nixon ."
Art13_en.conllu,Art,30,10,different,different,Appreciation,Fair enough . But I wanted interviews that were different .,anders,anders,"Schön und gut , aber ich wollte Interviews , die anders sind ."
Art13_en.conllu,Art,35,10,good,good,Affect,"Now , it turns out that I was pretty good at that .",gut,gut,"Es hat sich herausgestellt , dass ich das ziemlich gut kann ."
Art13_en.conllu,Art,40,6,worth,worth,Judgement,"And I thought it was worth a chance , he thought it was worth a chance , and so we got up on the stage , and we had an hour conversation about his life , and after that a woman rushed up to me , essentially did , and she said , "" Where did you train as a doctor ? """,wert,wert,"Ich dachte es wäre einen Versuch wert , und er dachte , es wäre einen Versuch wert , und so sind wir auf die Bühne gegangen , und wir unterhielten uns für eine Stunde über sein Leben . Danach stürmte eine Frau auf mich zu , buchstäblich , und sie fragte : "" Wo haben sie Ihre Ausbildung zu dem Doktor gemacht ? """
Art13_en.conllu,Art,40,14,worth,worth,Judgement,"And I thought it was worth a chance , he thought it was worth a chance , and so we got up on the stage , and we had an hour conversation about his life , and after that a woman rushed up to me , essentially did , and she said , "" Where did you train as a doctor ? """,wert,wert,"Ich dachte es wäre einen Versuch wert , und er dachte , es wäre einen Versuch wert , und so sind wir auf die Bühne gegangen , und wir unterhielten uns für eine Stunde über sein Leben . Danach stürmte eine Frau auf mich zu , buchstäblich , und sie fragte : "" Wo haben sie Ihre Ausbildung zu dem Doktor gemacht ? """
Art13_en.conllu,Art,52,3,convinced,convinced,Affect,I 'm convinced of it .,überzeugt,überzeugt,Davon bin ich überzeugt .
Art13_en.conllu,Art,57,17,famous,famous,Judgement,"He was supposed to be the toughest interview that anybody would ever do because he was famous for being silent , for never ever saying anything except maybe a word or two .",bekannt,bekennen,"Es hieß , mit ihm wäre es das härteste Interview , das jemals jemand machen würde , weil er dafür bekannt war , ruhig zu sein und nie irgendetwas zu sagen , abgesehen von vielleicht ein oder zwei Worten ."
Art13_en.conllu,Art,79,3,infomercial,infomercial,Judgement,"It 's infomercial , and we all have infomercials about our lives .",Dauerwerbesendung,dauerwerbesendung,"Es ist wie eine Dauerwerbesendung , und wir alle haben "" Werbeseiten "" unseres Leben ."
Art13_en.conllu,Art,104,3,unbelievable,unbelievable,Judgement,It was unbelievable .,unglaublich,unglaublich,Es war unglaublich .
Art13_en.conllu,Art,109,4,alone,alone,Affect,"When we were alone , I was her audience .",allein,allein,"Als wir allein waren , war ich ihr Zuhörer ."
Art13_en.conllu,Art,127,5,terrible,terrible,Appreciation,"That 's probably as terrible a way to die as you can imagine , and very few of us were invited to a dinner party .",schrecklichste,schrecklich,"Das ist die schrecklichste Art zu sterben , die man sich vorstellen kann , und nur sehr wenige waren zu der Dinnerparty eingeladen ."
Art13_en.conllu,Art,138,14,surprising,surprising,Judgement,"It was n't this arm - wrestle , but it was a little surprising for the person involved .",Überraschungsmoment,überraschungsmoment,"Es war nicht dieses Armdrücken , sondern es war ein Überraschungsmoment für meinen Gesprächspartner ."
Art13_en.conllu,Art,145,14,affectionate,affectionate,Judgement,"And I said -- these are all arm wrestles , but they 're affectionate -- and I said , "" My father was loving and supportive , which is why I 'm not funny . """,warmherzig,warmherzig,"Ich sagte -- das sind alles Kraftproben , aber sie sind warmherzig -- "" Mein Vater war liebevoll und unterstützend , weshalb ich auch nicht lustig bin """
Art13_en.conllu,Art,145,24,loving,loving,Appreciation,"And I said -- these are all arm wrestles , but they 're affectionate -- and I said , "" My father was loving and supportive , which is why I 'm not funny . """,liebevoll,liebevoll,"Ich sagte -- das sind alles Kraftproben , aber sie sind warmherzig -- "" Mein Vater war liebevoll und unterstützend , weshalb ich auch nicht lustig bin """
Art13_en.conllu,Art,145,34,funny,funny,Affect,"And I said -- these are all arm wrestles , but they 're affectionate -- and I said , "" My father was loving and supportive , which is why I 'm not funny . """,lustig,lustig,"Ich sagte -- das sind alles Kraftproben , aber sie sind warmherzig -- "" Mein Vater war liebevoll und unterstützend , weshalb ich auch nicht lustig bin """
Art13_en.conllu,Art,150,20,related,related,Appreciation,"Now , these are arm wrestle questions , but I want to tell you about questions that are more related to empathy and that really , very often , are the questions that people have been waiting their whole lives to be asked .",bezogen,beziehen,"Nun , dies sind Kraftproben - Fragen , aber ich will Ihnen über die Fragen erzählen , die mehr auf Empathie bezogen sind und die wirklich sehr oft die Fragen sind , auf die die Leute ihr ganzes Leben gewartet haben , gefragt zu werden ."
Art13_en.conllu,Art,155,17,better,good,Affect,"And he said , "" Well , of course , but actually , I know him better than anyone who ever met him , because I got to read all of his letters . """,besser,gut,"sagte er "" Naja , natürlich , aber eigentlich kenne ich ihn besser als alle , die ihn jemals getroffen haben , weil ich alle seine Briefe zu lesen bekam """
Art13_en.conllu,Art,156,6,satisfied,satisfied,Judgement,"So , he was very satisfied with the kind of relationship they had over 50 years .",zufrieden,zufrieden,"Also er war sehr zufrieden mit der Art der Beziehung , die sie über 50 Jahre hatten ."
Art13_en.conllu,Art,160,15,afraid,afraid,Affect,"But he said , "" Well , "" he said , "" I 'm afraid so . """,leider,leider,"Auf jeden Fall sagte er "" Naja , leider schon ."
Art13_en.conllu,Art,165,12,honest,honest,Judgement,"And he said , "" Now , John Adams was too honest . """,ehrlich,ehrlich,""" John Adams war einfach zu ehrlich """
Art13_en.conllu,Art,173,24,extraordinary,extraordinary,Judgement,"At the time that I proposed to her that -- by the way , I would have proposed to her ; she was extraordinary -- but proposed to her that she come on . She said , "" Come to my apartment . """,außergewöhnlich,außergewöhnlich,"Zu der Zeit als ich ihr vorgeschlagen habe , -- übrigens hätte ich ihr einen Antrag gemacht , sie war außergewöhnlich -- als ich ihr vorgeschlagen habe , auf die Bühne zu kommen . sagte sie "" Kommen Sie zu meinem Apartment "" ."
Art13_en.conllu,Art,178,25,askew,askew,Appreciation,"And so she spent almost all of her life in bed , but -- I speak of the life force -- her hair was askew .",schief,schief,"So verbrachte sie fast ihr ganzes Leben in dem Bett , aber --ich spreche von der Lebenskraft -- ihr Haar war ganz schief ."
Art13_en.conllu,Art,179,4,about,about,Judgement,She was n't about to make up for this occasion .,dabei,dabei,"Sie war nicht dabei , sich für diesen Anlass zurecht zu machen ."
Art13_en.conllu,Art,181,4,unhappy,unhappy,Judgement,She was n't unhappy about this .,unglücklich,unglücklich,Sie war nicht unglücklich darüber .
Art13_en.conllu,Art,194,13,beautiful,beautiful,Judgement,"And she began to talk about her childhood , when she was beautiful , and she literally turned -- here she was , in this broken body -- and she turned to the audience and described herself as the fair demoiselle with her red hair and her light steps and so forth , and then she said , "" And then puberty hit . """,schön,schön,"Und sie fing an über ihr Kindheit zu erzählen , als sie schön war , und sie veränderte sich buchstäblich - dieser gebeutelte Körper -- sie drehte sich dem Publikum zu und beschrieb sich selbst als das hübsche Fräulein , mit ihrem roten Haar und ihrem leichten Schritt und so weiter , und dann sagte sie "" Und dann setzte die Pubertät ein """
Art13_en.conllu,Art,202,26,truthful,truthful,Judgement,"The key point was empathy because everybody in their lives is really waiting for people to ask them questions , so that they can be truthful about who they are and how they became what they are , and I commend that to you , even if you 're not doing interviews .",ehrlich,ehrlich,"Die Hauptsache war Empathie , denn jeder in dem Leben wartet eigentlich nur darauf von Anderen Fragen gestellt zu bekommen , damit sie über sich selbst ehrlich sein können , und darüber , wie sie die Person geworden sind , die sie sind . Ich möchte Ihnen dies an das Herz legen , auch wenn Sie keine Interviews führen ."
Art14_en.conllu,Art,13,15,interested,interested,Affect,"In my own case , I 'm an artist , and I 'm really interested in expanding the vocabulary of human action , and basically empowering people through interactivity .",interessiert,interessieren,"Was mich angeht : Ich bin Künstler und sehr daran interessiert , das Vokabular der menschlichen Aktion zu erweitern und den Menschen durch Interaktivität ihre Stärken aufzuzeigen ."
Art14_en.conllu,Art,29,64,creative,creative,Appreciation,"So as people make shapes with their hands or their heads and so forth , or with each other , these shapes literally produce sounds and drop out of thin air -- basically taking what 's often this , kind of , unseen space , or this undetected space , and making it something real , that people then can appreciate and become creative with .",kreativ,kreativ,"Wenn die Leute also Formen mit ihren Händen oder Köpfen oder miteinander machen , dann erzeugen diese Formen buchstäblich Geräusche und entstehen wie aus dem Nichts . In dem Grunde nimmt es diesen unsichtbaren Raum , oder diesen unentdeckten Raum , und macht daraus etwas Reales , mit dem die Leute sich vergnügen und kreativ werden können ."
Art14_en.conllu,Art,44,25,able,able,Affect,"It 's about mappings between different perceptual domains , like hardness , sharpness , brightness and darkness , and the phonemes that we 're able to speak with .",benutzen,benutzen,"Es geht dabei um Verbindungen zwischen verschiedenen Wahrnehmungsbereichen , wie Härte , Schärfe , Helligkeit und Dunkelheit , und die Phoneme , die wir benutzen ."
Art14_en.conllu,Art,52,8,able,able,Appreciation,"If a computer speech recognition system is able to recognize what you 're saying , then it spells it out .",,,"Wenn das Spracherkennungsprogramm erkennt , was man sagt , buchstabiert es das ."
Art14_en.conllu,Art,71,23,interested,interested,Affect,"So in addition to the full body , and in addition to the voice , another thing that I 've been really interested in , most recently , is the use of the eyes , or the gaze , in terms of how people relate to each other .",interessiert,interessieren,"Zusätzlich zu dem gesamten Körper und der Stimme gibt es noch etwas anderes , das mich neuerdings sehr interessiert , der Einsatz der Augen oder des Blickes , und wie der die Leute miteinander verbindet ."
Art14_en.conllu,Art,73,15,active,active,Appreciation,"And it 's one of the most interesting technical challenges that 's very currently active in the computer sciences : being able to have a camera that can understand , from a fairly big distance away , how these little tiny balls are actually pointing in one way or another to reveal what you 're interested in , and where your attention is directed .",beschäftigt,beschäftigen,"Das ist eine der interessantesten technischen Herausforderungen , die zu der Zeit die Informatik beschäftigt . Eine Kamera zu entwickeln , die aus recht großer Distanz erkennt , wie diese klitzekleinen Kugeln tatsächlich in die eine oder andere Richtung zeigen , um zu erkennen , was einen interessiert und worauf unsere Aufmerksamkeit gerichtet ist ."
Art14_en.conllu,Art,77,5,aware,aware,Appreciation,What if art was aware that we were looking at it ?,bewusst,bewußt,"Was wäre , wenn der Kunst bewusst wäre , dass sie betrachtet wird ?"
Art14_en.conllu,Art,93,10,blurry,blurry,Affect,And if I get really far away I 'm blurry .,verschwommen,verschwimmen,"Und wenn ich sehr weit weggehe , werde ich verschwommen ."
Art14_en.conllu,Art,110,21,long,long,Appreciation,"And I 'm going to show a video of the older version of it , which is just a minute long .",dauert,dauern,"Ich werde Ihnen ein Video einer älteren Version zeigen , das nur eine Minute dauert ."
Art14_en.conllu,Art,117,14,shy,shy,Judgement,"Like looking away if you look at it too long because it gets shy , or things like that .",schüchtern,schüchtern,"Wenn man es z. B. zu lange ansieht , wird es schüchtern und sieht weg . Oder ähnliche Dinge ."
Art14_en.conllu,Art,142,5,happy,happy,Affect,And I 'm really happy to be here .,sehr,sehr,"Ich freue mich sehr , hier zu sein ."
Art15_en.conllu,Art,56,6,old,old,Judgement,And Moi is 35 years old .,alt,alt,Moi ist 35 Jahre alt .
Art15_en.conllu,Art,63,13,incredible,incredible,Appreciation,And the knowledge that these people have about the natural environment is incredible .,unglaublich,unglaublich,Der Wissensschatz dieser Menschen über die Natur ist unglaublich .
