adjective,gender,discipline,file_names,total_count,affect_count,judgement_count,appreciation_count,ambiguous_count,p_affect,p_judgement,p_appreciation,assigned_class,assigned_confidence,example_affect,example_judgement,example_appreciation,example_ambiguous
high,f,art,Art16_en.conllu || Art4_en.conllu,5,0,1,0,4,0.0,1.0,0.0,judgement,1.0,,"It was a very high , it was a very impersonal time in design and we wanted to say , the content is what 's important , not the package , not the wrapping .",,"So , what I did when I was painting was I started singing , because I really adore singing , and I think that music is the highest form of all art . || The residents in Flint have been forced to drink with , cook with and bathe with bottled water , while paying the highest water bills in the country for water that is infected with deadly legionella bacteria . || Our 14 - year collaboration , "" The Notion of Family , "" was created out of our struggle to survive environmental racism , healthcare inequity and chemical emissions that were being deregulated and released from the United States Steel Corporation , making Braddock the town with the highest asthma and infant mortality rates in the country . || This technology pulls air through a high - volume air filter ."
free,f,art,Art4_en.conllu || Art5_en.conllu,5,0,0,1,4,0.0,0.0,1.0,appreciation,1.0,,,"Residents are free to walk up to the machine anywhere between 9 am and 8 pm daily and take as much as they want , alleviating them from standing in long lines for bottled water .","Nestle , the largest water - bottling company in the world , pumps 400 gallons of water per minute out of aquifers in Lake Michigan , nearly free of charge . || Bring relief of free , clean water to the people in Flint . Teach them how to use the machine , teach them how to take care of it , and most importantly , take ownership of the machine . || Through creativity and solidarity , Amber Hasan , Shea Cobb , Tuklor Senegal , The Sister Tour , myself , the people of Flint , Dexter Moon , Moses West and his atmospheric water generator have been able to provide 120,000 gallons of free , clean water . || I got my paints , and I was n't a landscape painter , but I was n't really much of any kind of painter at all , so I had no attachment , no expectation , which allowed me to be reckless and free ."
unknown,f,art,Art16_en.conllu || Art5_en.conllu,5,0,0,1,4,0.0,0.0,1.0,appreciation,1.0,,,"But in her lexicon , "" sorry , the rest unknown , thank you "" is "" sorry , the rest unknown , go to hell , "" because she could n't care less .","But then she says Tel Aviv and Lenin , which is the town they came from , and , "" Sorry , the rest unknown , thank you . "" || But in her lexicon , "" sorry , the rest unknown , thank you "" is "" sorry , the rest unknown , go to hell , "" because she could n't care less . || It was as though our whole family dynamic and all our established roles vanished and we were just all together in this unknown , feeling the same thing and taking care of each other . || Let 's take the opportunity to find something beautiful in the unknown , in the unpredictable , and even in the awful ."
dark,f,art,Art10_en.conllu || Art16_en.conllu || Art3_en.conllu || Art4_en.conllu,4,0,0,1,3,0.0,0.0,1.0,appreciation,1.0,,,"No matter how dark a situation may be , a camera can extract the light and turn a negative into a positive .","So never stop fighting to stand in your light because even in your darkest times , we see you . || "" And I think it must have been a very , very dark day when the Bolsheviks arrived . || It was a dark time in my life ; my eating disorder consumed me ."
big,f,art,Art1_en.conllu || Art5_en.conllu,4,0,0,1,3,0.0,0.0,1.0,appreciation,1.0,,,"Our stories do n't have an audience , our experiences wo n't resonate in the mainstream , our voices are too big a financial risk .","Rule number one : do n't let your big brother see you do anything stupid . || My big plan was to be a waitress to support my painting . || We 're all going to have big losses in our lives , maybe a job or a career , relationships , love , our youth ."
fantastic,f,art,Art16_en.conllu,4,0,0,1,3,0.0,0.0,1.0,appreciation,1.0,,,"And with him , I was able to do a project that was really fantastic .","But anyway , so we were in Venice , and this is our room . And I had this dream that I was wearing this fantastic green gown , and I was looking out the window , and it was really a beautiful thing . || So , I commissioned a wonderful composer , Nico Muhly , who wrote nine songs using the text , and we performed this fantastic evening of -- he wrote music for both amateurs and professionals . || And there he is , with this horrible electrical box on his rump in this fantastic , decrepit palace ."
simple,f,art,Art16_en.conllu || Art5_en.conllu,4,1,0,0,3,1.0,0.0,0.0,affect,1.0,"So , in writing for children , it seems simple , and it is .",,,"And almost , I would almost call it being simple - minded , but in the best sense of the word . || I 'm trying to figure out two very simple things : how to live and how to die , period . || These simple daily activities became our sacred ritual , and we repeated them day after day as the cancer grew ."
brown,f,art,Art1_en.conllu,4,0,0,1,3,0.0,0.0,1.0,appreciation,1.0,,,"I stayed out of the sun so that my skin would n't get too brown , I straightened my curls into submission .","Someone they looked at and saw as too brown , too fat , too poor , too unsophisticated . || I constantly tried to lose weight , I bought fancier and more expensive clothes . All so that when people looked at me , they would n't see a too fat , too brown , too poor Latina . || Ana in "" Real Women Have Curves "" was a brown , poor , fat Latina ."
more,f,bus,Bus10_en.conllu || Bus14_en.conllu || Bus15_en.conllu || Bus1_en.conllu,40,2,0,0,38,1.0,0.0,0.0,affect,1.0,I 'm even more of a fan of globalization . || What worries me more is a different nightmare scenario .,,,"Only about 12 percent of the decisions did they make an hour or more of their time . || They had 250 different kinds of mustards and vinegars and over 500 different kinds of fruits and vegetables and more than two dozen different kinds of bottled water -- and this was during a time when we actually used to drink tap water . || More people stopped when there were 24 , about 60 percent , than when there were six , about 40 percent . || And what we looked at was whether the number of fund offerings available in a retirement savings plan , the 401( k ) plan , does that affect people 's likelihood to save more for tomorrow . || And what we found was that , the more funds offered , indeed , there was less participation rate ."
good,f,bus,Bus10_en.conllu || Bus13_en.conllu || Bus14_en.conllu || Bus15_en.conllu || Bus1_en.conllu || Bus9_en.conllu,24,0,2,1,21,0.0,0.6667,0.3333,judgement,0.6667,,"Now choosing not to buy a jar of jam is probably good for us -- at least it 's good for our waistlines -- but it turns out that this choice overload problem affects us even in very consequential decisions . || They 're more likely to choose things that make them less satisfied , even when they do objectively better .","We have to be willing , as teachers and parents and entrepreneurs and scientists , we have to be willing to have proactive conversations about race with honesty and understanding and courage , not because it 's the right thing to do , but because it 's the smart thing to do , because our businesses and our products and our science , our research , all of that will be better with greater diversity .","Now choosing not to buy a jar of jam is probably good for us -- at least it 's good for our waistlines -- but it turns out that this choice overload problem affects us even in very consequential decisions . || We choose not to choose , even when it goes against our best self - interests . || They 're more likely to delay choosing -- procrastinate even when it goes against their best self - interest . || Now in the financial savings world , I think one of the best examples that has recently come out on how to best manage the choice offerings has actually been something that David Laibson was heavily involved in designing , which was the program that they have at Harvard . || If I show you 600 magazines and I divide them up into 10 categories , versus I show you 400 magazines and divide them up into 20 categories , you believe that I have given you more choice and a better choosing experience if I gave you the 400 than if I gave you the 600 ."
same,f,bus,Bus10_en.conllu || Bus13_en.conllu || Bus14_en.conllu || Bus15_en.conllu || Bus1_en.conllu || Bus9_en.conllu,12,0,0,1,11,0.0,0.0,1.0,appreciation,1.0,,,"And Skipper says his answers were always the same : "" Yes . ""","It 's the same information . || It 's the same number of choices . || This does express the humanity of what 's going on , and the personal relationships , but that is also like saying that it 's the same thing as a yard sale or a bake sale or babysitting . || It 's like saying yard sales are the same thing as eBay , or craft fairs are the same thing as Etsy . || The third thing , and this is what worries me the most , is the extent to which those same largely positive forces which are driving the rise of the global plutocracy also happen to be hollowing out the middle class in Western industrialized economies ."
great,f,bus,Bus13_en.conllu || Bus14_en.conllu || Bus15_en.conllu || Bus9_en.conllu,10,0,0,1,9,0.0,0.0,1.0,appreciation,1.0,,,Is n't that great ?,"When I talked to their CEO , he had this great line . || And I can tell you two great stories . || Think of all the years reformers of various stripes have tried to get rid of corruption in Russia , for instance , or how hard it is to re-regulate the banks even after the most profound financial crisis since the Great Depression , or even how difficult it is to get the big multinational companies , including those whose motto might be "" do n't do evil , "" to pay taxes at a rate even approaching that paid by the middle class . || The result is something that economists Alan Krueger and Miles Corak call the Great Gatsby Curve . || But it 's important to remember that before we learned how to share the fruits of the Industrial Revolution with the broad swathes of society , we had to go through two depressions , the Great Depression of the 1930s , the Long Depression of the 1870s , two world wars , communist revolutions in Russia and in China , and an era of tremendous social and political upheaval in the West ."
political,f,bus,Bus14_en.conllu || Bus9_en.conllu,10,0,0,1,9,0.0,0.0,1.0,appreciation,1.0,,,"One set of causes is political : lower taxes , deregulation , particularly of financial services , privatization , weaker legal protections for trade unions , all of these have contributed to more and more income going to the very , very top .","A lot of these political factors can be broadly lumped under the category of "" crony capitalism , "" political changes that benefit a group of well - connected insiders but do n't actually do much good for the rest of us . || It gets tempting at that point to use your economic nous to manipulate the rules of the global political economy in your own favor . || And why stop at just playing the global political and economic system as it exists to your own maximum advantage ? || Once you have the tremendous economic power that we 're seeing at the very , very top of the income distribution and the political power that inevitably entails , it becomes tempting as well to start trying to change the rules of the game in your own favor . || But it 's important to remember that before we learned how to share the fruits of the Industrial Revolution with the broad swathes of society , we had to go through two depressions , the Great Depression of the 1930s , the Long Depression of the 1870s , two world wars , communist revolutions in Russia and in China , and an era of tremendous social and political upheaval in the West ."
hard,f,bus,Bus13_en.conllu || Bus14_en.conllu || Bus15_en.conllu || Bus9_en.conllu,10,0,0,2,8,0.0,0.0,1.0,appreciation,1.0,,,"Changes which are slow and gradual can be hard to notice even if their ultimate impact is quite dramatic . || But I 'll be the first one to tell you , this subject matter can be hard , awkward , uncomfortable -- but that 's kind of the point .","So I continue to think that transportation is the center of the hard universe . || But while getting rid of crony capitalism in practice is really , really hard , at least intellectually , it 's an easy problem . || But while it 's pretty easy to see how globalization and the technology revolution are creating this global plutocracy , what 's a lot harder is figuring out what to think about it . || He says , if you 're trying to solve a really hard problem , really hard , that you should have a diverse group of people , including those with diverse intellects . || If you are trying to solve a really hard problem , you can speak up and be color brave ."
right,f,bus,Bus10_en.conllu || Bus13_en.conllu || Bus15_en.conllu || Bus9_en.conllu,9,1,0,0,8,1.0,0.0,0.0,affect,1.0,It took me a year and a half to get the insurance just right .,,,"All right , let me show you some more about this . || All right . || Now it turns out you 're right . || Every single decision , I have to think about what is right for both sides . || There are literally no words , right ?"
likely,f,bus,Bus10_en.conllu || Bus1_en.conllu,9,0,3,5,1,0.0,0.375,0.625,appreciation,0.625,,"They 're more likely to delay choosing -- procrastinate even when it goes against their best self - interest . || They 're more likely to make worse choices -- worse financial choices , medical choices . || They 're more likely to choose things that make them less satisfied , even when they do objectively better .","First , in which case were people more likely to stop , sample some jam ? || The next thing we looked at is in which case were people more likely to buy a jar of jam . || Now if you do the math , people were at least six times more likely to buy a jar of jam if they encountered six than if they encountered 24 . || The more choices available , the more likely they were to put all their money in pure money market accounts . || Our data shows that people who communicate with more than 58 different contacts tend to be more likely to be good borrowers .","So for those people who did choose to participate , the more choices available , the more likely people were to completely avoid stocks or equity funds ."
big,f,bus,Bus10_en.conllu || Bus13_en.conllu || Bus14_en.conllu || Bus15_en.conllu,8,1,0,0,7,1.0,0.0,0.0,affect,1.0,"It feels less positive , less optimistic , to talk about how the pie is sliced than to think about how to make the pie bigger .",,,"Today I want to talk about one of the biggest modern day choosing problems that we have , which is the choice overload problem . || But the ninth largest retailer , the ninth biggest retailer in the world today is Aldi , and it offers you only 1,400 products -- one kind of canned tomato sauce . || It also gets me excited about this big product that I 'm putting together , so I 'm more willing to be motivated to be engaged . || Peer production is this completely different way of doing things , and you have a big quality range , and so eBay , cleverly , the first peer production , Peer , Inc. company , I 'd say , they figured out early on , we need to have ratings and commentaries and all that yucky side stuff . || But there are all these other areas that are these profound , big problems that I know that we can work on , and people are working on them in many different sectors , but there 's this really fabulous group of things with the power of this Peers , Inc. model ."
willing,f,bus,Bus10_en.conllu || Bus15_en.conllu || Bus1_en.conllu,8,3,2,1,2,0.5,0.3333,0.1667,affect,0.5,"It also gets me excited about this big product that I 'm putting together , so I 'm more willing to be motivated to be engaged . || We have to be willing , as teachers and parents and entrepreneurs and scientists , we have to be willing to have proactive conversations about race with honesty and understanding and courage , not because it 's the right thing to do , but because it 's the smart thing to do , because our businesses and our products and our science , our research , all of that will be better with greater diversity .","And Gary said that he would be willing to offer people in this audience an all - expenses - paid free vacation to the most beautiful road in the world . || By doing that simple thing , there was an increase in enrollment by 20 percent and there was an increase in the amount of people willing to save or the amount that they were willing to put down into their savings account by four percent .","By looking beyond income , we can see that people in emerging markets that may seem risky and unpredictable on the surface are actually willing and have the capacity to repay .","But in fact , what we 're seeing more and more is that if you are willing to cut , get rid of those extraneous redundant options , well there 's an increase in sales , there 's a lowering of costs , there is an improvement of the choosing experience . || By doing that simple thing , there was an increase in enrollment by 20 percent and there was an increase in the amount of people willing to save or the amount that they were willing to put down into their savings account by four percent ."
black,f,bus,Bus15_en.conllu,8,0,0,1,7,0.0,0.0,1.0,appreciation,1.0,,,"Now I have this thought experiment that I play with myself , when I say , imagine if I walked you into a room and it was of a major corporation , like ExxonMobil , and every single person around the boardroom were black , you would think that were weird .","And I look at her , and I say , "" Now , do n't you think we need more than one black person in the U.S . || I remember one day coming home from a birthday party where I was the only black kid invited , and instead of asking me the normal motherly questions like , "" Did you have fun ? "" or "" How was the cake ? "" my mother looked at me and she said , "" How did they treat you ? "" || And even coming here today , I told some friends and colleagues that I planned to talk about race , and they warned me , they told me , do n't do it , that there 'd be huge risks in me talking about this topic , that people might think I 'm a militant black woman and I would ruin my career . || Of the Fortune 250 , there are only seven CEOs that are minorities , and of the thousands of publicly traded companies today , thousands , only two are chaired by black women , and you 're looking at one of them , the same one who , not too long ago , was nearly mistaken for kitchen help . || In the spirit of debunking racial stereotypes , the one that black people do n't like to swim , I 'm going to tell you how much I love to swim ."
brave,f,bus,Bus15_en.conllu,8,1,0,0,7,1.0,0.0,0.0,affect,1.0,We have to be color brave .,,,"Color blind or color brave ? || And I 'm telling you , you can be color brave . || If you 're part of a hiring process or an admissions process , you can be color brave . || If you are trying to solve a really hard problem , you can speak up and be color brave . || And it 's because of those words that I stand here right now full of passion , asking you to be brave for the kids who are dreaming those dreams today ."
important,f,bus,Bus10_en.conllu || Bus14_en.conllu || Bus15_en.conllu,6,0,0,1,5,0.0,0.0,1.0,appreciation,1.0,,,"Now , I also think that this is very important so that the next generation really understands that this progress will help them , because they 're expecting us to be great role models .","They 're all important choices . "" || So here 's the most important economic fact of our time . || One way of describing the plutocrats is as alpha geeks , and they are people who are acutely aware of how important highly sophisticated analytical and quantitative skills are in today 's economy . || But it 's important to remember that before we learned how to share the fruits of the Industrial Revolution with the broad swathes of society , we had to go through two depressions , the Great Depression of the 1930s , the Long Depression of the 1870s , two world wars , communist revolutions in Russia and in China , and an era of tremendous social and political upheaval in the West . || She taught me so many lessons , but the most important lesson was that every single day she told me , "" Mellody , you can be anything . """
rid,f,bus,Bus10_en.conllu || Bus14_en.conllu,6,4,1,0,1,0.8,0.2,0.0,affect,0.8,"But in fact , what we 're seeing more and more is that if you are willing to cut , get rid of those extraneous redundant options , well there 's an increase in sales , there 's a lowering of costs , there is an improvement of the choosing experience . || I have talked about four techniques for mitigating the problem of choice overload -- cut -- get rid of the extraneous alternatives ; concretize -- make it real ; categorize -- we can handle more categories , less choices ; condition for complexity . || In practice , getting rid of crony capitalism is incredibly difficult . || Think of all the years reformers of various stripes have tried to get rid of corruption in Russia , for instance , or how hard it is to re-regulate the banks even after the most profound financial crisis since the Great Depression , or even how difficult it is to get the big multinational companies , including those whose motto might be "" do n't do evil , "" to pay taxes at a rate even approaching that paid by the middle class .","When the Golden Cat Corporation got rid of their 10 worst - selling cat litter products , they saw an increase in profits by 87 percent -- a function of both increase in sales and lowering of costs .",,"But while getting rid of crony capitalism in practice is really , really hard , at least intellectually , it 's an easy problem ."
able,f,bus,Bus10_en.conllu || Bus13_en.conllu || Bus14_en.conllu,5,2,1,1,1,0.5,0.25,0.25,affect,0.5,And the more we 're able to be choosy about choosing the better we will be able to practice the art of choosing .,"That in order for people to understand the differences between the choices , they have to be able to understand the consequences associated with each choice , and that the consequences need to be felt in a vivid sort of way , in a very concrete way .","Way too much money , I just ca n't even go there , with lawyers , trying to figure out how this is different , who 's responsible to whom , and the result was that we were able to provide owners protection for their own driving records and their own history .",I love the fact that they mean that whoever chooses to will be able to watch this talk far beyond this auditorium .
successful,f,bus,Bus15_en.conllu || Bus9_en.conllu,5,1,0,0,4,1.0,0.0,0.0,affect,1.0,"They embrace their trauma and hardships as key elements of who they 've become , and know that without those experiences , they might not have developed the muscle and grit required to become successful .",,,"I called a friend who was in New York at one of the most successful media companies in the world , and she said , "" Why do n't we host an editorial board lunch for Harold ? || As I met successful business people and read profiles of high - powered leaders , I noticed some commonality . || In one study designed to measure the effects of adversity on children at risk , among a subset of 698 children who experienced the most severe and extreme conditions , fully one - third grew up to lead healthy , successful and productive lives . || In a study of the world 's most highly successful entrepreneurs , it turns out a disproportionate number have dyslexia ."
old,f,bus,Bus10_en.conllu || Bus13_en.conllu || Bus14_en.conllu || Bus1_en.conllu,5,0,1,0,4,0.0,1.0,0.0,judgement,1.0,,"Jenipher is 65 years old , and for decades has been running a food stall in the central business district .",,"They had over 75 different kinds of olive oil , including those that were in a locked case that came from thousand - year - old olive trees . || Ten years old , three and a half million people have joined up , and a million rides are shared every day . || The 26 - year - old founder of Tumblr recently sold his company to Yahoo for 1.1 billion dollars . || 1.1 billion dollars , 26 years old ."
ready,f,bus,Bus10_en.conllu,5,0,0,1,4,0.0,0.0,1.0,appreciation,1.0,,,"And he pointed to the busloads of tourists that would show up everyday , with cameras ready usually .",Are you guys ready to hear about the choice overload problem ? || And now I 'll give you a few seconds to read it and then I want you to clap your hands if you 're ready to take Gary up on his offer . || Anybody who 's ready to take him up on his offer . || Now who 's ready to go on this trip .
uncomfortable,f,bus,Bus14_en.conllu || Bus15_en.conllu,5,1,0,0,4,1.0,0.0,0.0,affect,1.0,"Talking about income inequality , even if you 're not on the Forbes 400 list , can make us feel uncomfortable .",,,"Now , race is one of those topics in America that makes people extraordinarily uncomfortable . || But I 'll be the first one to tell you , this subject matter can be hard , awkward , uncomfortable -- but that 's kind of the point . || That drill was to make you comfortable being uncomfortable , because that 's how most of us spend our days . "" || So I think it 's time for us to be comfortable with the uncomfortable conversation about race : black , white , Asian , Hispanic , male , female , all of us , if we truly believe in equal rights and equal opportunity in America , I think we have to have real conversations about this issue ."
small,f,bus,Bus15_en.conllu || Bus1_en.conllu,4,0,0,1,3,0.0,0.0,1.0,appreciation,1.0,,,"And even then , the loan sizes would be way too small to really have an impact on her business , averaging around 150 dollars .","When we got evicted , sometimes we lived in these small apartments that she owned , sometimes in only one or two rooms , because they were n't completed , and we would heat our bathwater on hot plates . || It helps us understand the creditworthiness of people like Jenipher , a small - business owner in Nairobi , Kenya . || She 's applying for a small - business loan from a commercial bank , because she now has the credit history to prove she deserves it ."
