language,Domain,adjective,total_count,Affect_count,Judgement_count,Appreciation_count,ambiguous_count,p_Affect,p_Judgement,p_Appreciation,assigned_class,assigned_confidence,example_Affect,example_Judgement,example_Appreciation,example_ambiguous
en,Art,second,16,0,1,0,15,0.0,1.0,0.0,Judgement,1.0,,"And for him , it 's only his second .",,"And after begging and pleading for Christmas , I got a second - hand video camera , and I instantly started making my own animations on my own , and all throughout high school I made my own animations . || The first is the fall of Granada , the last Muslim enclave in Europe . The second is Columbus finally gets funded to go to India , but he gets lost . || The second one was about a woman complaining because three minivans with six bearded men pulled up and started interrogating her on the spot for talking to a man who was n't related to her . || The second one , they were actually split between Saudi and Afghanistan . || The second one took place in upstate New York . It was an Orthodox Jewish community ."
en,Art,bad,16,0,0,2,14,0.0,0.0,1.0,Appreciation,1.0,,,"And so I sat in a sandbox for four days straight , six hours every day , six - minute appointments with anyone in London , and that was really bad . || I mean , having a long - term sub is bad enough , but having a sub for your sub ? That 's the worst .","These are clearly biblical archetypes , and the thinking behind that was to create positive , globally - resonating storylines that could be tied to the same things that other people were pulling mean messages out of because then the person that 's using religion for the wrong purpose just becomes a bad man with a bad message . || Now the main bad guy , Rughal , does not want these stones to update , so he 's trying to get them to stop updating . || The bad news is they were all photocopies , so we did n't make a dime in revenue . || The worst interviews that you can ever have are with people who are modest . || The worst interview I ever did : William L. Shirer ."
en,Art,wrong,14,4,3,0,7,0.5714,0.4286,0.0,Affect,0.5714,"And it says , "" Ich habe genug , "" which is a Bach cantata , which I once thought meant "" I 've had it , I ca n't take it anymore , give me a break , "" but I was wrong . || I was wrong . || But again , I was wrong . || I thought it was pretty awesome . I was pretty certain that my students would love it , but I was wrong .","And he was n't wrong . || I mean , I fired him , but he was n't wrong . || He was wrong .",,"I , like thousands of other homeless youth , disappeared into the shadows of the city while the whole world kept spinning as if nothing at all had gone terribly wrong . || These are clearly biblical archetypes , and the thinking behind that was to create positive , globally - resonating storylines that could be tied to the same things that other people were pulling mean messages out of because then the person that 's using religion for the wrong purpose just becomes a bad man with a bad message . || And he controls them from the top down -- whereas when they work for the other side , eventually , when they find out this is the wrong person , they 've been manipulated , they actually , each one has a different , colorful kind of dress . || And so I did , I worked my hardest to overcome all the things that people said were wrong with me . || I 'm hurt and broke down and be flowin' about it , goin ' about it wrong ' cause I did n't allow it ."
en,Art,high,14,0,1,0,13,0.0,1.0,0.0,Judgement,1.0,,"It was a very high , it was a very impersonal time in design and we wanted to say , the content is what 's important , not the package , not the wrapping .",,"So I get shipped off to private school , K through eight , public schools , but for some reason my grandfather was upset that somebody at the local high school had been stabbed and killed , so he did n't want me to go there . || Very wise man , because he knew I would , I felt like I was making the decision on my own , and he knew I would n't choose St. John 's , so I went to Holy Name High School , which was a tough transition because , like I said , I did n't play sports , and it was very focused on sports , but I took solace in Mr. Shilale 's art room . || And after begging and pleading for Christmas , I got a second - hand video camera , and I instantly started making my own animations on my own , and all throughout high school I made my own animations . || So after this experience , my art teacher , Mr. Shilale , he brought in these picture books , and I thought , "" Picture books for kids ! "" and I started writing books for young readers when I was a senior in high school . || It 's 3D CGI , which is going to be very high - quality , written in Hollywood by the writers behind Ben 10 and Spiderman and Star Wars : Clone Wars ."
en,Art,true,13,1,2,5,5,0.125,0.25,0.625,Appreciation,0.625,"But the second part of it -- and the older I get , the more convinced I am that that 's true . It 's amazing what people will say when they know how the story turned out .","So now , my friends , if that is true , and it is true , what is the point ? "" || The same was not true of my video lectures , and it was n't even true of my in - person lectures .","That 's true . || But I am able to make the transition from working for children and -- from working for adults to children , and back and forth , because , you know , I can say that I 'm immature , and in a way , that 's true . || And Rick and I were on our way to a party in the Bronx , and somebody said Bronxistan , and somebody said Ferreristan , and we came up with this New Yorker cover , which we were able to -- we did n't know what we were doin We were n't trying to be funny , we were n't trying to be -- well , we were trying to be funny actually , that 's not true . || So now , my friends , if that is true , and it is true , what is the point ? "" || It means "" I have enough . "" And that is utterly true .","Or so we thought , until a woman came rushing across the campus and dropped her bag on the floor , pointed up to the sign and said , "" Who 's falafel ? "" True story . || And so , whereas Dr. Oliver Sacks has talked about how perhaps one person in a million actually has true synesthesia , where they hear colors or taste shapes , and things like this , phonaesthesia is something we can all experience to some extent . || And it 's true that I never saw anyone who looked like me in television or in films , and sure , my family and friends and teachers all constantly warned me that people like me did n't make it in Hollywood . || And in an ironic twist of fate , when I finally did get a role that would make all my dreams come true , it was a role that required me to be exactly who I was . || The same was not true of my video lectures , and it was n't even true of my in - person lectures ."
en,Art,real,13,0,0,1,12,0.0,0.0,1.0,Appreciation,1.0,,,The people that have felt it are real about it .,"But she was thrilled to get that out as a real , real fact in her life . || So as people make shapes with their hands or their heads and so forth , or with each other , these shapes literally produce sounds and drop out of thin air -- basically taking what 's often this , kind of , unseen space , or this undetected space , and making it something real , that people then can appreciate and become creative with . || And in this project we 've developed a form of intelligent real - time subtitles . || So all the text you 're going to see is real - time generated by the computer , visualizing what he 's doing with his voice . || How do we actually know that these sentences coming out of our mouths are real stories , you know , are real sentences ?"
en,Art,full,12,0,0,1,11,0.0,0.0,1.0,Appreciation,1.0,,,"But if you walk into a live theater and you see that the theater is half full , your heart sinks .","I realized that most people thought of homelessness as some kind of lazy , drug - induced squalor and inconvenience , but that did n't represent my book bag full of clothes and schoolbooks , or my A+ grade point average . || So I use my imagination as my full - time job . || So flurry of phone calls and emails from The New York Times . Next thing you knew , there 's a full page covering us positively , January 22nd , 2006 , which changed our lives forever , because anybody Googling Islam and cartoon or Islam and comic , guess what they got ; they got me . || Anything that I would ask , she would turn around , dismiss , and I was basically up there -- any of you in the moderate - to - full entertainment world know what it is to die onstage . || How can we get away from the mouse and use our full bodies as a way of exploring aesthetic experiences , not necessarily utilitarian ones ."
en,Art,creative,12,0,0,1,11,0.0,0.0,1.0,Appreciation,1.0,,,"So as people make shapes with their hands or their heads and so forth , or with each other , these shapes literally produce sounds and drop out of thin air -- basically taking what 's often this , kind of , unseen space , or this undetected space , and making it something real , that people then can appreciate and become creative with .","ChopArt uses the arts as a tool for trauma recovery by taking what we know about building community and restoring dignity and applying that to the creative process . || And they supported my creative efforts , because my grandfather was a self - made man . || I want people to discover themselves as actors , as creative actors , by having interactive experiences . || So again , people discover their creative agency in this way . || A creative solution for the water crisis in Flint , Michigan"
en,Art,long,11,0,0,1,10,0.0,0.0,1.0,Appreciation,1.0,,,"And I 'm going to show a video of the older version of it , which is just a minute long .","Rusty , who was a great hamster and lived a great long life when I was in fourth grade . || I 've seen people have "" Punk Farm "" birthday parties , people have dressed up as "" Punk Farm "" for Halloween , a "" Punk Farm "" baby room , which makes me a little nervous for the child 's well - being in the long term . || And that led to all kinds of things , from being in curricula in universities and schools to -- one of my favorite pictures I have from South Asia , it was a couple of men with long beards and a lot of girls wearing the hijab -- it looked like a school . || And so some of the things -- I mean , it was a long history of M&amp ; Co , and clearly we also needed to make some money , so we decided we would create a series of products . || There was a long and awkward silence , and then finally , "" OK , sweetie , never mind , thank you for coming in , bye ! """
en,Art,extraordinary,10,0,1,0,9,0.0,1.0,0.0,Judgement,1.0,,"At the time that I proposed to her that -- by the way , I would have proposed to her ; she was extraordinary -- but proposed to her that she come on . She said , "" Come to my apartment . """,,"It 's energy that creates extraordinary interviews and extraordinary lives . || And so he filled the room , and we had an extraordinary conversation . || There 's an extraordinary woman named Clare Boothe Luce . || She did an extraordinary play called "" The Women . "" || And she looked at me , and it was like the successful arm - wrestle , and then , after that , she delivered an extraordinary account of what her life really was like ."
en,Bus,good,80,4,3,11,62,0.2222,0.1667,0.6111,Appreciation,0.6111,"Mastery : the desire to get better and better at something that matters . || And I did n't like following instructions , I was no good at following instructions . || Neuroscientists tell me it has to do with how are brains are prewired . There 's a part of our brain that would like to know our mistakes and like to look at our weaknesses so we could do better . || Then we can see , we 've got teams that spend on themselves and these pro-social teams who we give money to make the team better .","Now choosing not to buy a jar of jam is probably good for us -- at least it 's good for our waistlines -- but it turns out that this choice overload problem affects us even in very consequential decisions . || They 're more likely to choose things that make them less satisfied , even when they do objectively better . || But when you give them 15 euro to spend on their teammates , they do so much better on their teams that you actually get a huge win on investing this kind of money .","And this was not good enough for him , and this question bedeviled him for years . || The quality of the tomato paste is much better ; the spice mix is far superior ; it adheres to the pasta in a much more pleasing way . || We have to be willing , as teachers and parents and entrepreneurs and scientists , we have to be willing to have proactive conversations about race with honesty and understanding and courage , not because it 's the right thing to do , but because it 's the smart thing to do , because our businesses and our products and our science , our research , all of that will be better with greater diversity . || As long as the task involved only mechanical skill bonuses worked as they would be expected : the higher the pay , the better the performance . || But if you want engagement , self - direction works better .","Now choosing not to buy a jar of jam is probably good for us -- at least it 's good for our waistlines -- but it turns out that this choice overload problem affects us even in very consequential decisions . || We choose not to choose , even when it goes against our best self - interests . || They 're more likely to delay choosing -- procrastinate even when it goes against their best self - interest . || Now in the financial savings world , I think one of the best examples that has recently come out on how to best manage the choice offerings has actually been something that David Laibson was heavily involved in designing , which was the program that they have at Harvard . || If I show you 600 magazines and I divide them up into 10 categories , versus I show you 400 magazines and divide them up into 20 categories , you believe that I have given you more choice and a better choosing experience if I gave you the 400 than if I gave you the 600 ."
en,Bus,more,65,2,0,0,63,1.0,0.0,0.0,Affect,1.0,I 'm even more of a fan of globalization . || What worries me more is a different nightmare scenario .,,,"Only about 12 percent of the decisions did they make an hour or more of their time . || They had 250 different kinds of mustards and vinegars and over 500 different kinds of fruits and vegetables and more than two dozen different kinds of bottled water -- and this was during a time when we actually used to drink tap water . || More people stopped when there were 24 , about 60 percent , than when there were six , about 40 percent . || And what we looked at was whether the number of fund offerings available in a retirement savings plan , the 401( k ) plan , does that affect people 's likelihood to save more for tomorrow . || And what we found was that , the more funds offered , indeed , there was less participation rate ."
en,Bus,right,49,3,0,1,45,0.75,0.0,0.25,Affect,0.75,"It took me a year and a half to get the insurance just right . || Rather than thinking , "" I 'm right , "" I started to ask myself , "" How do I know I 'm right ? """,,"They see their own opinions as just one of many and naturally start asking themselves , "" How do I know my opinion is right ? ""","All right , let me show you some more about this . || All right . || Now it turns out you 're right . || It 's right there for you to find . || It 's worth 1.5 trillion dollars every year , and that 's a vast amount of money , right ?"
en,Bus,great,43,0,0,6,37,0.0,0.0,1.0,Appreciation,1.0,,,Is n't that great ? || Management is great . || Traditional notions of management are great if you want compliance . || That 's great . || And that 's been great .,"And third is , and I 'm taking this from the great American beat poet Allen Ginsberg , that alternate economies barter and different kinds of currency , alternate currencies are also very important , and he talked about buying what he needed just with his good looks . || So I decided instead , I would talk about someone who I think has done as much to make Americans happy as perhaps anyone over the last 20 years , a man who is a great personal hero of mine : someone by the name of Howard Moskowitz , who is most famous for reinventing spaghetti sauce . || Howard 's about this high , and he 's round , and he 's in his 60s , and he has big huge glasses and thinning gray hair , and he has a kind of wonderful exuberance and vitality , and he has a parrot , and he loves the opera , and he 's a great aficionado of medieval history . || What is the great revolution in science of the last 10 , 15 years ? || And for that , we owe him a great vote of thanks ."
en,Bus,many,40,0,0,1,39,0.0,0.0,1.0,Appreciation,1.0,,,That 's almost twice as many as we have today .,"Do you know how many choices you make in a typical day ? || Do you know how many choices you make in typical week ? || Each task was made up of many , many , many sub -choices of course . || Do you know how many choices make it into your nine minute category versus your one hour category ? || This is many years ago , back in the early 70s ."
en,Bus,same,31,0,0,2,29,0.0,0.0,1.0,Appreciation,1.0,,,"And Skipper says his answers were always the same : "" Yes . "" || And it 's great because if I do n't let Jim , and people like Jim , to express their points of view , our relationship would n't be the same .","It 's the same information . || It 's the same number of choices . || And in the same community , this is business synergy . || But governments hate the DIY economy , and that 's why -- I took this picture in 2007 , and this is the same market in 2009 -- and I think , when the organizers of this conference were talking about radical openness , they did n't mean that the streets should be open and the people should be gone . || And then eventually even Ragù hired Howard , and Howard did the exact same thing for Ragù that he did for Prego ."
en,Bus,little,28,0,1,0,27,0.0,1.0,0.0,Judgement,1.0,,"Even if the Ocean Cleanup project , beach plastic recycling programs or any well - meaning ocean plastic company was a hundred percent successful , it would still be too little , too late .",,"We decided to do a little experiment , and we picked jam for our experiment . || We set up a little tasting booth right near the entrance of the store . || And during that session , we kept the session exactly the way it used to be , but we added one little thing . || The one little thing we added was we asked people to just think about all the positive things that would happen in your life if you saved more . || It turns out we can actually handle a lot more information than we think we can , we 've just got to take it a little easier ."
en,Bus,happy,28,10,3,3,12,0.625,0.1875,0.1875,Affect,0.625,"But I was thinking about this , and I realized that although my new book makes me happy , and I think would make my mother happy , it 's not really about happiness . || So I decided instead , I would talk about someone who I think has done as much to make Americans happy as perhaps anyone over the last 20 years , a man who is a great personal hero of mine : someone by the name of Howard Moskowitz , who is most famous for reinventing spaghetti sauce . || What Howard did is he fundamentally changed the way the food industry thinks about making you happy . || And everyone 's take - home lesson from that was that the way to make people happy is to give them something that is more expensive , something to aspire to . || Because we thought that what it took to make people happy was to provide them with the most culturally authentic tomato sauce , A . And B , we thought that if we gave them the culturally authentic tomato sauce , then they would embrace it .","Let 's have some people do what they usually do , spend money on themselves , and let 's make some people give money away , and measure their happiness and see if , in fact , they get happier . || It did n't make them less happy , it just did n't do much for them . || How happy did it make you ? ""","But I was thinking about this , and I realized that although my new book makes me happy , and I think would make my mother happy , it 's not really about happiness . || We thought maybe the reason money does n't make us happy is that we 're spending it on the wrong things ; in particular , we 're always spending it on ourselves . || People who spent money on others got happier ; people who spent it on themselves , nothing happened .","And I thought she 'd say , "" Oh , you know , up the lagoon somewhere , or maybe across Africa , "" but you 'll be happy to know she said it came from here , it comes from the North Sea . || Assumption number one in the food industry used to be that the way to find out what people want to eat , what will make people happy , is to ask them . || If I were to ask all of you to try and come up with a brand of coffee -- a type of coffee , a brew -- that made all of you happy , and then I asked you to rate that coffee , the average score in this room for coffee would be about 60 on a scale of 0 to 100 . || The difference between coffee at 60 and coffee at 78 is a difference between coffee that makes you wince , and coffee that makes you deliriously happy . || Here 's why I like this story , not so much for the happy ending , but it shows someone carefully choosing the right objective and then sticking to it year after year after year ."
en,Bus,important,24,0,2,9,13,0.0,0.1818,0.8182,Appreciation,0.8182,,"It is , in fact , enormously important . || It 's incredibly important right now .","And third is , and I 'm taking this from the great American beat poet Allen Ginsberg , that alternate economies barter and different kinds of currency , alternate currencies are also very important , and he talked about buying what he needed just with his good looks . || And this was even more important . || Now why is that important ? || Now , I also think that this is very important so that the next generation really understands that this progress will help them , because they 're expecting us to be great role models . || Let me tell you why this is so important .","They 're all important choices . "" || I think it 's really important to understand that something like this is totally open . || So it 's very important to them to track piracy exactly because of this , and the people who are buying , the pirates , are not their customers anyway , because their customers want the real deal . || And a critically important step in understanding our own desires and tastes is to realize that we can not always explain what we want , deep down . || Third thing that Howard did , and perhaps the most important , is Howard confronted the notion of the Platonic dish ."
en,Bus,big,20,1,0,0,19,1.0,0.0,0.0,Affect,1.0,"It feels less positive , less optimistic , to talk about how the pie is sliced than to think about how to make the pie bigger .",,,"Today I want to talk about one of the biggest modern day choosing problems that we have , which is the choice overload problem . || But the ninth largest retailer , the ninth biggest retailer in the world today is Aldi , and it offers you only 1,400 products -- one kind of canned tomato sauce . || It also gets me excited about this big product that I 'm putting together , so I 'm more willing to be motivated to be engaged . || Big businesses have recognized this , and what 's fascinating about this slide , it 's not that the guys can carry boxes on their heads and run around without dropping them off . it 's that the Gala sausage roll is a product that 's made by a global company called UAC foods that 's active throughout Africa and the Middle East , but the Gala sausage roll is not sold in stores . || and when they came into Nigeria — Nigeria is the big dog in Africa ."
en,Bus,wrong,20,4,0,5,11,0.4444,0.0,0.5556,Appreciation,0.5556,"We 've been thinking all wrong ! "" || I was so arrogant , and I was so wrong . || We 've had it all wrong .",,"And he would think it through and say , "" What was wrong ? || And Howard looked to that and said , "" That 's wrong ! "" || We do it because it eliminates what I believe to be one of the greatest tragedies of mankind , and that is people arrogantly , naïvely holding opinions in their minds that are wrong , and acting on them , and not putting them out there to stress test them . || And I want to suggest today that , in fact , that 's wrong . || So that 's wrong , and in fact , if you think that , you 're just not spending it right .","The sneaker manufacturer told me that if they find that Pumas are being pirated , or Adidas are being pirated and their sneakers are n't being pirated , they know they 've done something wrong . || So this goes on in the formal economy as well as the informal economy , so it 's wrong of us to blame — and I 'm not singling out Siemens , I 'm saying everyone does it . || And that is , that when they analyzed the Diet Pepsi data , they were asking the wrong question . || You 're wrong . || You 're wrong !"
en,Bus,key,18,0,0,1,17,0.0,0.0,1.0,Appreciation,1.0,,,And collaboration is key to the success of any enterprise .,"Jenipher answered a few questions on her phone and she gave us access to a few key data points on her device . || And so Andy invented a system called "" Objectives and Key Results . "" || The two key phrases of the management by objective systems are the objectives and the key results , and they match the two purposes . || The key results have to be measured , but at the end you can look and without any argument say , "" Did I do that , or did I not do that ? "" || Objectives and Key Results , or OKRs , are a simple goal - setting system and they work for organizations , they work for teams , they even work for individuals ."
en,Bus,old,15,2,3,0,10,0.4,0.6,0.0,Judgement,0.6,"It was late 1970s , I was 34 years old , and I had calculated that American banks had lent much more money to emerging countries than those countries were going to be able to pay back and that we would have the greatest debt crisis since the Great Depression . And with it , an economic crisis and a big bear market in stocks . || I was 64 years old at the time .","Jenipher is 65 years old , and for decades has been running a food stall in the central business district . || She was nine years old . || Here they are , 24 years old in their garage .",,"They had over 75 different kinds of olive oil , including those that were in a locked case that came from thousand - year - old olive trees . || Cheese , Light , Robusto , Rich &amp ; Hearty , Old World Traditional -- Extra - Chunky Garden . || Ten years old , three and a half million people have joined up , and a million rides are shared every day . || The 26 - year - old founder of Tumblr recently sold his company to Yahoo for 1.1 billion dollars . || 1.1 billion dollars , 26 years old ."
en,Bus,perfect,15,0,0,1,14,0.0,0.0,1.0,Appreciation,1.0,,,This is perfect .,"We 'd like you to figure out how much aspartame we should put in each can of Diet Pepsi in order to have the perfect drink . "" || They were looking for the perfect Pepsi , and they should have been looking for the perfect Pepsis . || Howard immediately went on the road , and he would go to conferences around the country , and he would stand up and say , "" You had been looking for the perfect Pepsi . || You should be looking for the perfect Pepsis . "" || Vlasic Pickles came to him , and they said , "" Doctor Moskowitz , we want to make the perfect pickle . """
en,Bus,simple,14,0,2,0,12,0.0,1.0,0.0,Judgement,1.0,,"Now , if I gave you this problem to do , you would all say , it 's very simple . || It 's very simple .",,"So what I want to propose to you today are four simple techniques -- techniques that we have tested in one way or another in different research venues -- that you can easily apply in your businesses . || By doing that simple thing , there was an increase in enrollment by 20 percent and there was an increase in the amount of people willing to save or the amount that they were willing to put down into their savings account by four percent . || Really simple . || Now I know people will say , but that does n't add up to a lot , but I 'm actually asking you to do something really simple : observe your environment , at work , at school , at home . || If - then rewards work really well for those sorts of tasks , where there is a simple set of rules and a clear destination to go to ."
en,Bus,low,12,0,0,1,11,0.0,0.0,1.0,Appreciation,1.0,,,Standard of living is lower .,"So half of the customers are going to go from high choice , 56 car colors , to low choice , four gearshifts . || The other half of the customers are going to go from low choice , four gearshifts , to 56 car colors , high choice . || What you find is the people who go from high choice to low choice , they 're hitting that default button over and over and over again . || They go from low choice to high choice , they 're hanging in there . || They need a low deductible , and 24 - hour roadside assistance ."
