en_form,en_sense,de_aligned_forms,de_aligned_counts,example_en_sentence,example_de_sentence,n_instances,total_en_form_instances,pct_of_form
able,Affect,"(NULL), können, Lage, konnten, fähig, konnte, ermöglichte, geschafft, in Lage, Kraftmessungen, aufgrund, befähigt, benutzen, brauchen, durchgesetzt, ernähren, gefunden, glücklich, imstande, kann, lernen, möglich, speichern, unmöglich, vorstellen","(NULL):30, können:13, Lage:8, konnten:4, fähig:3, konnte:3, ermöglichte:2, geschafft:2, in Lage:2, Kraftmessungen:1, aufgrund:1, befähigt:1, benutzen:1, brauchen:1, durchgesetzt:1, ernähren:1, gefunden:1, glücklich:1, imstande:1, kann:1, lernen:1, möglich:1, speichern:1, unmöglich:1, vorstellen:1","We 've been able to license The 99 comic books into eight languages so far -- Chinese , Indonesian , Hindi , Urdu , Turkish .","Wir haben die "" 99 "" - Comichefte bisher in acht Sprachen übersetzt : Chinesisch , Indonesisch , Hindi , Urdu , Türkisch .",83,149,0.557
able,Appreciation,"(NULL), Lage, können, fähig, imstande, ,, Möglichkeit, darin, der, geschafft, gezielt, helfen, in Lage, isolieren, schlussendlich","(NULL):11, Lage:6, können:5, fähig:2, imstande:2, ,:1, Möglichkeit:1, darin:1, der:1, geschafft:1, gezielt:1, helfen:1, in Lage:1, isolieren:1, schlussendlich:1","Mujiba , from Malaysia : her main power is she 's able to answer any question .","Mujiba aus Malaysia , ihre Kraft besteht darin jede Frage zu beantworten .",36,149,0.2416
able,Judgement,"(NULL), Lage, können, benutzen, fähig, gelang, geschafft, kann, konnten, könnten, möglich","(NULL):11, Lage:6, können:5, benutzen:1, fähig:1, gelang:1, geschafft:1, kann:1, konnten:1, könnten:1, möglich:1",But it actually was n't until recently that we were able to expand our size range in a major way .,Wir konnten aber erst kürzlich unser Größensortiment erheblich erweitern .,30,149,0.2013
abnormal,Judgement,abnormal,abnormal:1,"We can do this because tumor blood vessels are unlike normal , healthy vessels we see in other places of the body -- they 're abnormal , they 're very poorly constructed , and because of that , they 're highly vulnerable to treatments that target them .","Und dies können wir erreichen , weil sich Tumor - Blutgefässe von normalen , gesunden Blutgefässen unterscheiden , die wir in anderen Bereichen des Körpers finden . Sie sind abnormal , sie sind sehr schlecht gebildet ; und darum sind sie sehr angreifbar über Behandlungen , die auf sie abzielen .",1,1,1.0
about,Affect,"(NULL), dabei, gerade","(NULL):3, dabei:2, gerade:1","In this clip I 'm about to show you , which has never been seen in the public before , there is a struggle .","In diesem Clip , der noch nie zuvor in de Öffentlichkeit gezeigt wurde , findet ein Kampf statt .",6,17,0.3529
about,Appreciation,"(NULL), auf, dabei, eigentlich, gleich","(NULL):2, auf:1, dabei:1, eigentlich:1, gleich:1","The company was about to go bankrupt , but some other company acquired it , and I tripled my money .","Die Firma stand kurz vor dem Konkurs , aber eine andere Firma akquirierte sie und ich verdreifachte mein Geld .",6,17,0.3529
about,Judgement,"dabei, (NULL)","dabei:3, (NULL):2",She was n't about to make up for this occasion .,"Sie war nicht dabei , sich für diesen Anlass zurecht zu machen .",5,17,0.2941
absolute,Appreciation,absolut,absolut:1,"Is that absolute , like force and mass and gravitational attraction ?","Sind sie absolut wie Kraft , Masse und Schwerkraft ?",1,1,1.0
absorbent,Appreciation,saugfähig,saugfähig:1,My mother was completely absorbent .,Meine Mutter war äußerst saugfähig .,1,1,1.0
absurd,Appreciation,absurd,absurd:3,"To appreciate how absurd that is , imagine if we did other things in our life that way .","Um einschätzen zu können , wie absurd das ist , stellen Sie sich vor , wir würden andere Probleme auf diese Art lösen .",3,3,1.0
abundant,Affect,Überfluss,Überfluss:1,It is about taking that which was scarce and making it abundant .,"Es geht darum , aus knappen Gütern Überfluss zu schaffen .",1,2,0.5
abundant,Appreciation,(NULL),(NULL):1,"Now , there 's a reason why this test has n't been updated in over six decades . And that 's because when we 're looking for pancreatic cancer , we 're looking at your bloodstream , which is already abundant in all these tons and tons of protein , and you 're looking for this miniscule difference in this tiny amount of protein . Just this one protein .","Nun , es gibt einen Grund , warum dieser Test in über sechs Jahrzehnten nicht verbessert wurde , und zwar weil wir auf der Suche nach Bauchspeicheldrüsenkrebs unseren Blutkreislauf betrachten , der überfüllt mit einer riesigen Menge von Proteinen an , und man sucht nach diesem winzigen Unterschied in dieser winzigen Anzahl an Proteinen , von nur diesem einen Protein .",1,2,0.5
abusive,Appreciation,beleidigend,beleidigend:1,"So okay , determining whether or not something is abusive without context , definitely hard .","Also festzustellen , ob etwas beleidigend ist , ohne den Zusammenhang zu kennen , ist wirklich schwer .",1,2,0.5
abusive,Judgement,beleidigend,beleidigend:1,"And in fact , in that case , it 's not only not abusive , it 's technically just an accurate greeting .","Tatsächlich ist es in diesem Fall nicht nur nicht beleidigend , sondern eine völlig korrekte Anrede .",1,2,0.5
acceptable,Appreciation,Ordnung sein,Ordnung sein:1,"And somehow , that 's acceptable ?",Und das soll in Ordnung sein ?,1,1,1.0
accepting,Judgement,akzeptieren,akzeptieren:1,They 're more accepting of sadness than younger people are .,Sie akzeptieren Traurigkeit leichter als jüngere Leute .,1,1,1.0
accessible,Affect,leichter,leichter:1,"But we wanted to make detection even more accessible and usable , so through a combination of model optimization , network binarization and approximation , we actually have object detection running on a phone .","Aber wir wollten Bilderkennung sogar noch leichter nutzbar machen . Daher haben wir durch Modelloptimierung , Binarisierung des neuralen Netzes und Approximation erreicht , dass die Objekterkennung sogar auf einem Mobiltelefon läuft .",1,1,1.0
accidental,Appreciation,Zufall,Zufall:1,"If you happen to be surrounded by a bunch of people who look like you , that 's purely accidental .","Wenn wir von Menschen umgeben sind , die aussehen wie wir , dann ist das purer Zufall .",1,1,1.0
accountable,Affect,Verantwortung,Verantwortung:1,We can hold those governments accountable .,Wir können Regierungen zu der Verantwortung ziehen .,1,1,1.0
accurate,Affect,(NULL),(NULL):1,"And believe it or not , and I know some of you are like , "" Yeah , right , "" we 're about 90 percent accurate , or more , with weather forecast .","Ob Sie es glauben oder nicht und einige von Ihnen denken : "" Ja , klar "" , aber unsere Wettervorhersagen treffen zu 90 % zu .",1,7,0.1429
accurate,Appreciation,"(NULL), genau, richtig, zutreffend","(NULL):1, genau:1, richtig:1, zutreffend:1","But what we lose , I think , is an accurate -- a felt sense of the sky , a sense of context .","Aber , was wir verlieren ist , denke ich genau – ein gefühlter Sinn für den Himmel eine Art Kontext .",4,7,0.5714
accurate,Judgement,"akkurat, präziser","akkurat:1, präziser:1",Would n't it be far more accurate and evidence - based to determine the muscle mass of individual patients just by looking at them ?,"Wäre es nicht viel präziser und evidenzbasierter , die Muskelmasse von Patienten individuell festzulegen , indem man sie sich einfach anschaut ?",2,7,0.2857
acidic,Affect,Säuregehalt,Säuregehalt:1,"Excess carbon dioxide is not only driving global warming , it 's also changing ocean chemistry , making the sea more acidic .","Übermäßige Mengen an Kohlendioxid treiben nicht nur die Erderwärmung voran , sie verändern auch die chemische Zusammensetzung der Meere , erhöhen ihren Säuregehalt .",1,1,1.0
active,Affect,"aktiv, fit","aktiv:2, fit:1","For in the months leading up to my selection , like many young people , I 'd been active in the anti-Vietnam War movement , and had written an article against Lyndon Johnson , which unfortunately came out in The New Republic two days after the dance in the White House .","In den Monaten vor meiner Auswahl war ich , wie viele junge Leute , aktiv in der Bewegung gegen den Vietnam - Krieg und hatte einen Artikel gegen Lyndon Johnson geschrieben , der unglücklicherweise in der ' The New Republic' erschien , zwei Tage nach dem Ball in dem Weißen Haus .",3,14,0.2143
active,Appreciation,"aktiv, aktiver, (NULL), beschäftigt","aktiv:6, aktiver:2, (NULL):1, beschäftigt:1","And it 's one of the most interesting technical challenges that 's very currently active in the computer sciences : being able to have a camera that can understand , from a fairly big distance away , how these little tiny balls are actually pointing in one way or another to reveal what you 're interested in , and where your attention is directed .","Das ist eine der interessantesten technischen Herausforderungen , die zu der Zeit die Informatik beschäftigt . Eine Kamera zu entwickeln , die aus recht großer Distanz erkennt , wie diese klitzekleinen Kugeln tatsächlich in die eine oder andere Richtung zeigen , um zu erkennen , was einen interessiert und worauf unsere Aufmerksamkeit gerichtet ist .",10,14,0.7143
active,Judgement,aktiv,aktiv:1,It 's active .,Er ist aktiv .,1,14,0.0714
acute,Appreciation,akut,akut:1,Those same issues of conflicts of interest are acute in the United States today .,Dieselben Interessenkonflikte sind in den heutigen USA akut .,1,1,1.0
adaptive,Appreciation,"anpassungsfähig, anwendbar","anpassungsfähig:1, anwendbar:1","The notion that the prenatal transmission of PTSD risk is adaptive is still speculative , but I find it rather poignant .","Die Idee , dass die prenatale Übertragung des PTSD - Risikos anwendbar ist , ist noch Theorie , für mich aber eine sehr überwältigende .",2,4,0.5
adaptive,Judgement,"anpassungsfähig, ungemütlich anpassungsfähig","anpassungsfähig:1, ungemütlich anpassungsfähig:1","He had a lot of flaws , but he was very adaptive .","Er hatte viele Schwächen , aber er war sehr anpassungsfähig .",2,4,0.5
addicted,Affect,abhängig sind,abhängig sind:1,"I wanted to build my own business , designing and manufacturing biodegradable packaging from waste -- paper , agricultural , even textile waste -- replacing the toxic , disposable plastic packaging to which we 've all become addicted .","Ich wollte meine eigene Firma gründen , die biologisch abbaubare Verpackungen aus Abfallprodukten , Papier - , Agrar - sowie Textilabfälle , herstellt und somit giftige Einwegverpackungen aus Plastik ersetzt , von denen wir heute alle abhängig sind .",1,2,0.5
addicted,Appreciation,Künstlerin,Künstlerin:1,"When I was a kid , I loved to draw , and the most talented artist I knew was my mother , but my mother was addicted to heroin .","Als ich ein Kind war , liebte ich das Zeichnen , und die talentierteste Künstlerin , die ich kannte , war meine Mutter .",1,2,0.5
adept,Appreciation,verlieren,verlieren:1,"Idea synthesis , rapid learning and adaptability : three skills that multipotentialites are very adept at , and three skills that they might lose if pressured to narrow their focus .","Konzeptsynthese , schnelles Lernen und Anpassungsfähigkeit : drei Fertigkeiten , die Multipotentialisten meistern , Fertigkeiten , die sie verlieren könnten , wenn man Sie zwingt , sich zu beschränken .",1,2,0.5
adept,Judgement,geschickt,geschickt:1,"They also happen to be particularly adept at working the international tax system so as to lower their tax bill very , very significantly .","Außerdem sind sie besonders geschickt darin , das internationale Steuersystem so zu bedienen , dass sie ihre Rechnung erheblich verringern können .",1,2,0.5
adulterous,Appreciation,"ehebrecherischer, untreuer","ehebrecherischer:1, untreuer:1","I 'm always astonished when people come to me and say , "" Why is it that men are so adulterous ? "" "" Why do you think more men are adulterous than women ? "" "" Well , men are more adulterous ! ""","Ich bin immer überascht , wenn Leute zu mir kommen und sagen : "" Warum sind Männer so ehebrecherisch ? "" Und ich antworte : "" Warum denken Sie , dass Männer untreuer sind als Frauen ? "" "" ' Nun ja -- Männer sind halt ehebrecherischer ! """,2,3,0.6667
adulterous,Judgement,ehebrecherisch,ehebrecherisch:1,"I 'm always astonished when people come to me and say , "" Why is it that men are so adulterous ? "" "" Why do you think more men are adulterous than women ? "" "" Well , men are more adulterous ! ""","Ich bin immer überascht , wenn Leute zu mir kommen und sagen : "" Warum sind Männer so ehebrecherisch ? "" Und ich antworte : "" Warum denken Sie , dass Männer untreuer sind als Frauen ? "" "" ' Nun ja -- Männer sind halt ehebrecherischer ! """,1,3,0.3333
adversarial,Judgement,gegnerisch,gegnerisch:1,It makes it adversarial ; it 's polarizing .,Das macht es gegnerisch . Es ist polarisierend .,1,1,1.0
affectionate,Judgement,warmherzig,warmherzig:1,"And I said -- these are all arm wrestles , but they 're affectionate -- and I said , "" My father was loving and supportive , which is why I 'm not funny . ""","Ich sagte -- das sind alles Kraftproben , aber sie sind warmherzig -- "" Mein Vater war liebevoll und unterstützend , weshalb ich auch nicht lustig bin """,1,1,1.0
affordable,Judgement,bezahlbar,bezahlbar:1,"This is the transformation which has lifted hundreds of millions of the world 's poorest people out of poverty and into the middle class , and if you happen to live in the rich part of the world , it 's made many new products affordable -- who do you think built your iPhone ? — and things that we 've relied on for a long time much cheaper .","Dies ist der Wandel , der hunderte Millionen der ärmsten Menschen dieser Welt aus der Armut in die Mittelschicht gehoben hat . Und falls Sie in dem reicheren Teil dieser Welt leben , hat dies viele neue Produkte bezahlbar gemacht und Dinge , auf die wir uns verlassen , billiger – wer glauben Sie , hat Ihr iPhone gebaut ?",1,1,1.0
afraid,Affect,"Angst, Angst der, befürchte, dass, eingeschüchtert, glauben, konkurrenzfähig, leider, schlaumachen Angst, traue nicht, zerstreut","Angst:7, Angst der:1, befürchte:1, dass:1, eingeschüchtert:1, glauben:1, konkurrenzfähig:1, leider:1, schlaumachen Angst:1, traue nicht:1, zerstreut:1","But he said , "" Well , "" he said , "" I 'm afraid so . ""","Auf jeden Fall sagte er "" Naja , leider schon .",17,24,0.7083
afraid,Appreciation,"(NULL), Angst, Angst versagen","(NULL):2, Angst:1, Angst versagen:1","An effective vaccine against it has been available for more than half a century , but many of the kids involved in the Disneyland outbreak had not been vaccinated because their parents were afraid of something allegedly even worse : autism .","Ein wirkungsvoller Impfstoff ist seit über 50 Jahren verfügbar , aber viele Kinder des Disneyland - Ausbruchs waren nicht geimpft , weil ihre Eltern vor vermeintlich Schlimmerem Angst hatten : Autismus .",4,24,0.1667
afraid,Judgement,"Angst, Angst dass, verängstigt","Angst:1, Angst dass:1, verängstigt:1","Well , they delay because they 're afraid .","Sie warten , weil sie Angst haben .",3,24,0.125
aged,Appreciation,"Alter, Alters","Alter:1, Alters:1","The learner could be middle - aged , could be as young as 20 .","Der Lernende konnte mittleren Alters sein , er konnte auch nur 20 sein .",2,2,1.0
aggressive,Appreciation,"aggressiv, aggressive","aggressiv:1, aggressive:1",Is it reasonable to expect that any physician who prescribes opioids knows that that is too aggressive ?,"Kann man erwarten , dass Ärzte , die Opioide verordnen , deren aggressive Wirkung kennen ?",2,3,0.6667
aggressive,Judgement,aggressiv,aggressiv:1,They 're aggressive but realistic .,"Sie sind aggressiv , aber realistisch .",1,3,0.3333
akin,Appreciation,wie,wie:1,"We unwittingly assume that values like justice , beauty , kindness , are akin to scientific quantities , like length , mass and weight .","Unbewusst nehmen wir an , dass Werte wie Gerechtigkeit , Schönheit und Güte wie wissenschaftliche Größen sind -- wie Länge , Masse und Gewicht .",1,1,1.0
alarming,Appreciation,beunruhigt,beunruhigt:1,"But what breaks my heart and what 's alarming is that in those two interviews , the people around , who were interviewed as well , refer to that behavior as Talibanization .","Es bricht mein Herz und beunruhigt mich , dass in diesen beiden Interviews die Leute , welche ebenfalls interviewt wurden , dieses Verhalten als "" Talibanisierungf "" bezeichneten .",1,1,1.0
algorithmic,Affect,algorithmisch,algorithmisch:1,Can we make them a little less algorithmic and a little more intuitive ?,Können wir sie weniger algorithmisch und ein wenig intuitiver machen ?,1,1,1.0
alien,Judgement,fremd,fremd:1,"And I think you would agree that we have found Titan is a remarkable , mystical place . It 's exotic , it 's alien , but yet strangely Earth - like , and having Earth - like geological formations and a tremendous geographical diversity , and is a fascinating world whose only rival in the solar system for complexity and richness is the Earth itself .","Ich denke , Sie würden mir zustimmen , dass Titan ein bemerkenswerter , rätselhafter Ort ist ; exotisch , fremd , doch seltsam erdähnlich , mit geologischen Formationen wie auf der Erde und gewaltiger geografischer Vielfalt ; eine faszinierende Welt , deren einziger Konkurrent in dem Sonnensystem in Sachen Komplexität und Reichtum die Erde selbst ist .",1,1,1.0
alike,Affect,gleich,gleich:1,I 'm an identical twin ; I am interested in why we 're all alike .,Ich habe einen eineiigen Zwilling ; ich bin interessiert daran zu erfahren : warum wir alle gleich sind .,1,6,0.1667
alike,Appreciation,"gleich, wären gleich","gleich:3, wären gleich:1","Not to mention , at this time , there was a general assumption that men and women were alike in every way , apart from their reproductive organs and sex hormones .","Zudem galt damals die Annahme , dass Männer und Frauen in jeder Hinsicht gleich seien , bis auf die Genitalien und Sexualhormone .",4,6,0.6667
alike,Judgement,(NULL),(NULL):1,"Why you and I are alike , why the Iraqis and the Japanese and the Australian Aborigines and the people of the Amazon River are all alike .","Warum Sie und ich gleich sind ; Iraker , Japaner , die Aborigines sowie die Stämme von dem Amazonas .",1,6,0.1667
alive,Affect,"Leben, erhalten, überleben","Leben:8, erhalten:2, überleben:1","I happen to be alive , end of discussion .","Ich bin halt an dem Leben , Ende der Diskussion .",11,21,0.5238
alive,Appreciation,"lebendig, (NULL), Leben, lebt, wiederbelebt","lebendig:2, (NULL):1, Leben:1, lebt:1, wiederbelebt:1",The value of the past also comes alive ; it provides a lot of company .,Die Werte der Vergangenheit werden ebenfalls wiederbelebt . Das bringt jede Menge Gesellschaft .,6,21,0.2857
alive,Judgement,"Leben, Lebewesen, lebendig, mehr","Leben:1, Lebewesen:1, lebendig:1, mehr:1",Elvis is not alive .,Elvis lebt nicht mehr .,4,21,0.1905
allergic,Judgement,allergisch,allergisch:1,"She was probably just allergic to something , but why did it appear just on the sides of her neck , this rash ?","Wahrscheinlich war sie nur gegen etwas allergisch , aber wieso erschien der Ausschlag nur an den Seiten ihres Halses ?",1,1,1.0
alluring,Appreciation,verführerisch,verführerisch:1,"This approach is so alluring that it can even be risky , as some may cling onto it as some kind of total solution to our climate crisis .","Dieser Ansatz ist so verführerisch , dass es riskant sein kann , da manch einer sich daran festhalten kann als Gesamtlösung unserer Klimakrise .",1,1,1.0
alone,Affect,"allein, alleine","allein:7, alleine:3","When we were alone , I was her audience .","Als wir allein waren , war ich ihr Zuhörer .",10,20,0.5
alone,Appreciation,"alleine, allein","alleine:3, allein:2","Despite all that power , all that wealth , he was alone when he finally died -- his ultimate terror realized .","Trotz dieser Macht , trotz dieses Wohlstands war er allein , als er starb - seine größte Angst wurde wahr .",5,20,0.25
alone,Judgement,"allein, alleine, Einzelfall","allein:2, alleine:2, Einzelfall:1","At age 13 , his parents were relocated to the countryside , the schools were closed and he was left alone in Beijing to fend for himself until 16 , when he got a job in a clothing factory .","Er war 13 , als seine Eltern auf das Land umgesiedelt und die Schulen geschlossen wurden . Er musste sich in Peking alleine durchschlagen , bis er 16 war , und einen Job in einer Kleiderfabrik bekam .",5,20,0.25
amazed,Judgement,beeindruckt,beeindruckt:1,"Yet when I talk to them about my work on carbon capture , I find that they 're equally amazed , and that 's because combatting climate change by capturing carbon is n't just about saving a polar bear or a glacier .","Dennoch , wenn ich mit ihnen über meine Arbeit spreche , merke ich , dass sie genauso beeindruckt davon sind , denn , den Klimawandel durch Entfernen von CO2 zu bekämpfen , ist nicht nur die Rettung eines Eisbären oder eines Gletschers .",1,1,1.0
amazing,Affect,fantastisch,fantastisch:1,"I find this amazing , that your stress response has a built - in mechanism for stress resilience , and that mechanism is human connection .","Ich finde das fantastisch , dass Ihre Stressantwort einen eingebauten Mechanismus für die Belastbarkeit durch Stress hat und dieser Mechanismus menschliche Verbindungen sind .",1,33,0.0303
amazing,Appreciation,"erstaunlich, unglaublich, großartig, toll, Unglaublich, aufregend, erstaunlicher, erstaunlichsten, etwas Fantastisches, super, verblüffend, wirklich, wirklich toll, wirklich unglaublich, ziemlich erstaunlich","erstaunlich:5, unglaublich:4, großartig:2, toll:2, Unglaublich:1, aufregend:1, erstaunlicher:1, erstaunlichsten:1, etwas Fantastisches:1, super:1, verblüffend:1, wirklich:1, wirklich toll:1, wirklich unglaublich:1, ziemlich erstaunlich:1","But the biggest thing we 've done to date , which is just amazing , is that we 've done a 26 - episode animated series , which is done for global audiences : in fact , we 're already going to be in the U.S. and Turkey , we know .","Das Größte was wir bisher gemacht haben und das ist einfach super , ist eine Zeichentrickserie mit 26 Folgen , die für Zuschauer weltweit angedacht ist . Wir wissen bereits , dass diese in die USA und die Türkei kommen .",24,33,0.7273
amazing,Judgement,"Verblüffend, abgefahren, erstaunlicher, super aus, umwerfend, unglaublich, wunderbar, ziemlich beeindruckend","Verblüffend:1, abgefahren:1, erstaunlicher:1, super aus:1, umwerfend:1, unglaublich:1, wunderbar:1, ziemlich beeindruckend:1",It was amazing .,Es war umwerfend !,8,33,0.2424
ambiguous,Appreciation,unklar,unklar:1,Real - world problems are often ambiguous and ill - defined and the context is always changing .,Probleme in der echten Welt sind oft unklar und schlecht definiert und der Kontext verändert sich kontinuierlich .,1,1,1.0
ambitious,Affect,ehrgeizig,ehrgeizig:1,"And even when we 're ambitious , even when we 're leaning in , that socialization of perfection has caused us to take less risks in our careers .","Selbst wenn wir ehrgeizig sind , selbst wenn wir uns richtig reinhängen , hält uns diese Erziehung zu dem Perfektsein davon ab , Risiken in unserem Beruf einzugehen .",1,3,0.3333
ambitious,Appreciation,"ehrgeizig, unerreichbar","ehrgeizig:1, unerreichbar:1","That 's too ambitious . ""","Das ist unerreichbar "" .",2,3,0.6667
amusing,Affect,amüsant,amüsant:1,"And basically , I was so , you know , it was so amusing , because I said , "" Well , how much space do I have ? ""","Und in dem Grunde genommen war ich , also es war so amüsant denn ich ich habe sie gefragt "" Nun ja , wieviel Platz habe ich denn ? """,1,2,0.5
amusing,Judgement,amüsant,amüsant:1,"But -- I know , it 's amusing , but the reality is , we all struggle with perceiving something outside of our experience level .","Aber -- Ich weiß , es ist amüsant , aber die Realität ist : Wir alle haben Probleme damit , etwas außerhalb unserer Erfahrungsebene wahrzunehmen .",1,2,0.5
analogous,Appreciation,"(NULL), ungefähr","(NULL):2, ungefähr:1",Let 's say that the brain is analogous to the world and that neurons are analogous to people .,"Angenommen , das Gehirn entspricht der Erde und die Neuronen sind die Menschen .",3,3,1.0
anathema,Affect,Fluch Außnahme,Fluch Außnahme:1,"But letting everyone ride in a cart would have been , I suspect , more anathema to the golfing greats and to the PGA , even than making an exception for Casey Martin .","Aber die Möglichkeit jeden einen Wagen fahren zu lassen , wäre , habe ich den Verdacht , eher ein noch großerer Fluch für die Golfgrößen , wie auch für die PGA , als der für Casey Martin eine Außnahme machen zu müssen .",1,1,1.0
angry,Affect,"wütend, Ärger, ärgern","wütend:7, Ärger:1, ärgern:1","Now when I was a teenager , I was angsty as any teenager was , but after 17 years of having a mother who was in and out of my life like a yo - yo and a father who was faceless , I was angry .","Als ich ein Teenager war , war ich so neurotisch und ängstlich wie jeder andere , aber nach 17 Jahren mit einer Mutter , die in meinem Leben kam und ging wie ein Jo-Jo , und einem unbekannten , gesichtslosen Vater , war ich wütend .",9,14,0.6429
angry,Appreciation,"wütend, sauer","wütend:2, sauer:1","This man is angry because somebody threw onions all over the staircase , and basically -- you know , I guess onions are a theme here . And he says , "" It is impossible not to lie .","Dieser Mann ist wütend , weil jemand überall auf seiner Treppe Zwiebeln verteilt hat . und in dem Grunde genommen -- wissen Sie , Zwiebeln scheinen hier ein Thema zu sein -- und er sagt , "" Es ist unmöglich nicht zu lügen .",3,14,0.2143
angry,Judgement,wütend,wütend:2,"We had to write our own Greek myth , our own creation story , so I wrote a story about an owl who challenged Hermes to a flying race , and the owl cheated , and Hermes , being a Greek god , grew angry and bitter , and turned the owl into a moon , so the owl had to live the rest of his life as a moon while he watched his family and friends play at night .","Wir mussten unsere eigene griechische Sage schreiben , unsere eigene Schöpfungsgeschichte , also schrieb ich eine Geschichte über eine Eule die Hermes zu einem Flugrennen herausforderte , und die Eule schummelte , und Hermes , als griechischer Gott , wurde wütend und verbittert , und verwandelte die Eule in einen Mond , so musste die Eule den Rest ihres Lebens als Mond verbringen während sie ihrer Familie und ihren Freunden nachts bei dem Spielen zuschaute .",2,14,0.1429
